Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,619,723,587,651,655,524,789,682,716,708,653,720,851
  └─ YOY Sales Growth %,8.71%,33.81%,-4.46%,1.77%,5.84%,-27.59%,34.51%,4.80%,9.41%,35.18%,-17.29%,5.49%,18.85%
Expenses,567,602,526,610,592,495,642,542,564,567,504,607,688
  └─ Material Cost %,29.24%,22.58%,22.90%,18.14%,27.71%,12.67%,24.15%,14.48%,20.37%,13.85%,5.26%,19.66%,15.85%
  └─ Employee Cost %,41.04%,40.80%,48.26%,47.49%,48.99%,60.49%,40.52%,48.67%,45.36%,49.70%,51.01%,49.44%,47.71%
Operating Profit,51,122,61,41,63,29,147,140,153,141,149,113,163
OPM %,8%,17%,10%,6%,10%,6%,19%,21%,21%,20%,23%,16%,19%
Other Income,-39,7,5,6,4,-4,4,8,-4,22,8,7,15
  └─ Exceptional items,-45.62,0.00,-3.05,0.00,-3.09,-5.44,-2.96,2.04,-11.75,-2.65,0.00,0.00,-1.15
  └─ Other income normal,6.75,6.53,8.47,6.05,7.16,1.43,6.65,5.63,7.97,24.75,8.11,6.66,16.42
Interest,24,28,27,33,31,32,37,49,42,43,42,46,43
Depreciation,76,70,75,80,85,71,72,72,79,81,84,84,89
Profit before tax,-88,29,-36,-66,-49,-78,42,27,28,39,31,-10,46
Tax %,-19%,42%,13%,-10%,42%,0%,21%,83%,-56%,39%,-114%,24%,53%
Net Profit,-71,17,-41,-60,-70,-78,33,5,43,23,65,-13,22
  └─ Exceptional items AT,-46,0,-2,0,-1,-5,-1,0,-12,-1,0,0,-1
  └─ Profit excl Excep,-25,17,-38,-60,-69,-72,35,5,55,25,65,-13,22
  └─ Profit for PE,-25,17,-38,-60,-69,-72,35,5,55,25,65,-13,22
  └─ Profit for EPS,-71,17,-41,-60,-70,-78,33,5,43,23,65,-13,22
  └─ YOY Profit Growth %,23%,324%,-283%,-222%,-176%,-525%,190%,108%,179%,134%,89%,-382%,-59%
EPS in Rs,-4.51,1.08,-2.61,-3.80,-4.46,-4.95,2.11,0.30,2.75,1.49,4.16,-0.83,1.39
Raw PDF,,,,,,,,,,,,,
