Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales,397,416,458,536,429,463,439,549,401,493,452,581,422
  └─ YOY Sales Growth %,77.96%,5.57%,13.18%,21.57%,7.91%,11.33%,-4.12%,2.47%,-6.51%,6.37%,3.06%,5.79%,5.36%
Expenses,334,348,383,445,358,387,377,454,343,420,391,472,367
  └─ Material Cost %,46.50%,44.18%,45.48%,46.30%,45.19%,47.21%,45.65%,49.22%,45.22%,47.44%,46.68%,49.24%,46.98%
  └─ Employee Cost %,12.51%,13.37%,11.77%,10.35%,13.44%,12.63%,12.92%,10.59%,14.69%,12.92%,13.57%,10.58%,15.49%
Operating Profit,63,68,75,90,70,76,61,95,58,72,62,108,55
OPM %,16%,16%,16%,17%,16%,17%,14%,17%,14%,15%,14%,19%,13%
Other Income,-1,11,13,4,15,11,16,16,16,18,12,14,18
  └─ Exceptional items,0.00,0.00,0.00,-5.00,0.00,-1.56,0.00,0.00,0.00,0.00,0.00,-1.50,0.00
  └─ Other income normal,-0.63,10.57,13.24,9.14,15.28,12.53,15.97,15.73,15.91,17.76,11.71,15.14,18.14
Interest,1,1,1,2,1,1,2,2,1,3,2,2,2
Depreciation,8,8,9,8,8,9,10,10,9,11,10,11,10
Profit before tax,54,69,78,84,76,77,66,99,64,77,61,109,62
Tax %,26%,26%,27%,25%,25%,26%,22%,24%,26%,10%,24%,21%,24%
Net Profit,40,51,57,63,57,57,52,76,47,69,46,86,47
  └─ Minority share,-0.38,-0.39,-0.47,-0.41,-0.42,-0.49,-0.64,-0.77,-0.40,-0.63,-0.55,-0.65,-0.49
  └─ Exceptional items AT,0.00,0.00,0.00,-3.75,0.00,-1.16,0.00,0.00,0.00,0.00,0.00,-1.16,0.00
  └─ Profit excl Excep,39.87,51.14,56.89,66.91,56.70,58.55,51.52,75.70,47.46,68.61,46.36,87.44,47.05
  └─ Profit for PE,39.49,50.75,56.42,66.48,56.28,58.05,50.88,74.93,47.06,67.98,45.81,86.78,46.56
  └─ Profit for EPS,39.49,50.75,56.42,62.75,56.28,56.90,50.88,74.93,47.06,67.98,45.81,85.63,46.56
  └─ YOY Profit Growth %,199.17%,19.36%,30.45%,16.89%,42.52%,14.38%,-9.82%,12.72%,-16.38%,17.11%,-9.96%,15.82%,-1.06%
EPS in Rs,30.36,39.02,43.38,48.25,43.27,43.75,39.12,57.61,36.18,52.71,35.52,66.39,36.10
Raw PDF,,,,,,,,,,,,,
