Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,18,2,209,666,604,609,636,620,573
  └─ YOY Sales Growth %,,,,3582.96%,,36826.06%,203.58%,-6.94%,-5.08%
Expenses,18,0,190,601,686,574,628,587,548
  └─ Material Cost %,99.89%,0.00%,27.76%,25.29%,22.37%,23.46%,26.58%,18.05%,20.01%
  └─ Employee Cost %,0.33%,7.27%,31.31%,32.95%,35.49%,36.18%,35.58%,36.59%,40.94%
Operating Profit,-0,1,19,65,-82,35,8,32,25
OPM %,-1%,80%,9%,10%,-14%,6%,1%,5%,4%
Other Income,0,0,6,27,-51,42,25,11,37
  └─ Exceptional items,0.00,0.00,0.00,-12.60,-61.44,0.00,0.00,-10.60,-5.87
  └─ Other income normal,0.21,0.00,5.50,39.42,10.72,41.96,24.90,21.31,42.63
Interest,0,0,2,33,9,151,18,14,16
Depreciation,0,0,12,40,43,40,36,35,39
Profit before tax,0,1,10,19,-185,-114,-21,-6,7
Tax %,-130%,25%,-16%,97%,76%,35%,1489%,780%,-1070%
Net Profit,0,1,12,1,-325,-154,-326,-55,82
  └─ Minority share,0,0,0,9,-56,5,129,20,-114
  └─ Exceptional items AT,0,0,0,6,-15,0,0,38,-6
  └─ Profit excl Excep,0,1,12,-5,-310,-154,-326,-92,88
  └─ Profit for PE,0,1,12,4,-366,-149,-198,-58,-26
  └─ Profit for EPS,0,1,12,10,-381,-149,-198,-35,-32
  └─ YOY Profit Growth %,,,,1661%,,-15605%,-1742%,-1543%,93%
EPS in Rs,0.02,0.06,0.66,0.51,-20.00,-7.81,-10.36,-1.73,-1.54
Raw PDF,,,,,,,,,
