Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,0.04,0.04,0.75,2.16,1.52,2.28,2.01,2.04,2.12,2.78,2.53,3.62,3.28
  └─ YOY Sales Growth %,-83%,-75%,275%,535%,3700%,5600%,168%,-6%,39%,22%,26%,77%,55%
Expenses,0.45,0.48,0.95,2.15,1.87,2.47,2.18,2.20,2.42,3.06,2.77,3.52,3.57
  └─ Material Cost %,0%,0%,60%,75%,85%,86%,81%,74%,84%,87%,84%,80%,91%
  └─ Employee Cost %,425%,400%,27%,8%,13%,6%,9%,9%,8%,6%,7%,5%,5%
Operating Profit,-0.41,-0.44,-0.20,0.01,-0.35,-0.19,-0.17,-0.16,-0.30,-0.28,-0.24,0.10,-0.29
OPM %,-1025.00%,-1100.00%,-26.67%,0.46%,-23.03%,-8.33%,-8.46%,-7.84%,-14.15%,-10.07%,-9.49%,2.76%,-8.84%
Other Income,0.36,0.36,0.27,0.23,0.27,-0.12,0.16,0.22,0.26,0.33,0.32,0.14,0.18
  └─ Exceptional items,0.00,-0.07,-0.03,-0.05,-0.04,-0.40,-0.12,-0.12,-0.07,-0.06,-0.14,-0.09,-0.04
  └─ Other income normal,0.36,0.43,0.30,0.28,0.31,0.28,0.28,0.34,0.33,0.39,0.46,0.23,0.22
Interest,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.02,0.03,0.02
Depreciation,0.07,0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.06
Profit before tax,-0.12,-0.14,0.01,0.17,-0.14,-0.38,-0.07,-0.01,-0.10,-0.03,-0.00,0.14,-0.19
Tax %,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,,-0.00%,-0.00%
Net Profit,-0.12,-0.14,0.01,0.17,-0.14,-0.38,-0.07,-0.01,-0.10,-0.03,-0.00,0.14,-0.19
  └─ Exceptional items AT,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Profit excl Excep,-0,-0,0,0,-0,0,0,0,-0,0,0,0,-0
  └─ Profit for PE,-0,-0,0,0,-0,0,0,0,-0,0,0,0,-0
  └─ Profit for EPS,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,0,-0
  └─ YOY Profit Growth %,81%,82%,131%,38%,17%,129%,25%,-50%,70%,50%,180%,109%,-400%
EPS in Rs,-0.04,-0.05,0.00,0.06,-0.05,-0.13,-0.02,-0.00,-0.03,-0.01,-0.00,0.05,-0.06
Raw PDF,,,,,,,,,,,,,
