Metric,Mar 2024,Mar 2025,Sep 2025,Mar 2026
Sales,9.75,21.92,21.90,17.92
Expenses,8.69,19.61,19.08,12.22
  └─ Material Cost %,77%,76%,74%,51%
  └─ Employee Cost %,3%,3%,3%,4%
Operating Profit,1.06,2.31,2.82,5.70
OPM %,10.87%,10.54%,12.88%,31.81%
Other Income,0.06,0.08,0.06,0.11
  └─ Other income normal,0.06,0.08,0.06,0.11
Interest,0.19,0.33,0.53,0.34
Depreciation,0.39,0.72,0.92,1.20
Profit before tax,0.54,1.34,1.43,4.27
Tax %,57.41%,27.61%,30.77%,27.40%
Net Profit,0.23,0.97,0.99,3.10
  └─ Profit excl Excep,0.23,0.97,0.99,3.10
  └─ Profit for PE,0.23,0.97,0.99,3.10
  └─ Profit for EPS,0.23,0.97,0.99,3.10
EPS in Rs,0.31,1.12,1.15,3.59
Raw PDF,,,,
