Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,1.59,1.80,10.80,1.79,1.75,2.10,0.11,0.84,0.62,0.39,3.64,0.63,2.33
Expenses,0.73,3.06,11.66,1.81,2.33,2.60,1.06,1.28,0.88,1.34,1.33,0.94,2.57
  └─ Material Cost %,-71.07%,134.44%,103.24%,73.74%,88.57%,43.81%,1227.27%,111.90%,56.45%,228.21%,18.68%,-36.51%,45.92%
  └─ Employee Cost %,42.14%,7.22%,3.70%,6.70%,19.43%,18.57%,154.55%,9.52%,33.87%,28.21%,6.04%,50.79%,9.44%
Operating Profit,0.86,-1.26,-0.86,-0.02,-0.58,-0.50,-0.95,-0.44,-0.26,-0.95,2.31,-0.31,-0.24
OPM %,54.09%,-70.00%,-7.96%,-1.12%,-33.14%,-23.81%,-863.64%,-52.38%,-41.94%,-243.59%,63.46%,-49.21%,-10.30%
Other Income,0.09,0.08,0.13,0.00,1.41,0.02,1.48,0.75,2.49,0.77,1.38,0.66,1.62
  └─ Other income normal,0.09,0.08,0.13,0.00,1.41,0.02,1.48,0.75,2.49,0.77,1.38,0.66,1.62
Interest,1.22,0.02,0.03,0.68,0.61,0.55,0.50,0.54,0.52,0.40,0.27,0.13,0.08
Depreciation,0.04,0.08,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
Profit before tax,-0.31,-1.28,-0.83,-0.75,0.17,-1.08,-0.02,-0.28,1.66,-0.63,3.37,0.18,1.26
Tax %,-112.90%,0.00%,-61.45%,0.00%,-111.76%,-25.00%,0.00%,0.00%,21.69%,0.00%,20.77%,0.00%,29.37%
Net Profit,0.04,-1.28,-0.32,-0.75,0.36,-0.81,-0.02,-0.28,1.30,-0.63,2.68,0.18,0.89
  └─ Profit excl Excep,0.04,-1.28,-0.32,-0.75,0.36,-0.81,-0.02,-0.28,1.30,-0.63,2.68,0.18,0.89
  └─ Profit for PE,0.04,-1.28,-0.32,-0.75,0.36,-0.81,-0.02,-0.28,1.30,-0.63,2.68,0.18,0.89
  └─ Profit for EPS,0.04,-1.28,-0.32,-0.75,0.36,-0.81,-0.02,-0.28,1.30,-0.63,2.68,0.18,0.89
EPS in Rs,0.06,-1.82,-0.45,-1.07,0.51,-1.05,-0.03,-0.36,1.68,-0.81,3.46,0.19,0.93
Raw PDF,,,,,,,,,,,,,
