Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,115.32,157.20,181.69,143.52,155.57,142.66,139.04,125.41,142.65,171.80,129.56
  └─ YOY Sales Growth %,,,,,34.90%,-9.25%,-23.47%,-12.62%,-8.30%,20.43%,-6.82%
Expenses,93.92,148.37,161.89,127.92,138.81,126.10,128.87,114.92,136.48,164.92,119.43
  └─ Material Cost %,57%,77%,75%,70%,69%,67%,68%,64%,70%,74%,61%
  └─ Employee Cost %,7%,5%,4%,6%,6%,7%,7%,8%,8%,7%,9%
Operating Profit,21.40,8.83,19.80,15.60,16.76,16.56,10.17,10.49,6.17,6.88,10.13
OPM %,18.56%,5.62%,10.90%,10.87%,10.77%,11.61%,7.31%,8.36%,4.33%,4.00%,7.82%
Other Income,1.98,5.19,3.19,1.64,2.29,1.61,8.82,5.26,3.60,1.56,1.59
  └─ Other income normal,1.98,5.19,3.19,1.64,2.29,1.61,8.82,5.26,3.60,1.56,1.59
Interest,4.88,5.03,5.63,5.12,5.50,5.50,4.64,5.53,5.27,5.55,4.91
Depreciation,1.29,2.44,1.90,1.51,2.17,1.92,2.18,1.89,1.62,1.82,1.86
Profit before tax,17.21,6.55,15.46,10.61,11.38,10.75,12.17,8.33,2.88,1.07,4.95
Tax %,22.66%,26.26%,28.91%,25.26%,20.30%,24.28%,42.73%,23.65%,41.32%,48.60%,25.05%
Net Profit,13.30,4.83,10.99,7.92,9.07,8.15,6.96,6.36,1.70,0.55,3.70
  └─ Minority share,-3.83,-0.02,-1.59,-1.42,-1.98,-2.02,-1.30,-1.22,0.39,-0.43,-0.04
  └─ Profit excl Excep,13.30,4.83,10.99,7.92,9.07,8.15,6.96,6.36,1.70,0.55,3.70
  └─ Profit for PE,9.47,4.81,9.40,6.50,7.09,6.13,5.66,5.14,2.09,0.12,3.66
  └─ Profit for EPS,9.47,4.81,9.40,6.50,7.09,6.13,5.66,5.14,2.09,0.12,3.66
  └─ YOY Profit Growth %,,,,,-25.13%,27.44%,-39.79%,-20.92%,-70.52%,-98.04%,-35.34%
EPS in Rs,1.47,0.72,1.41,0.97,0.87,0.75,0.69,0.63,0.26,0.01,0.45
Raw PDF,,,,,,,,,,,
