Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,56,37,35,34,41,39,29,25,37,26,21,21,16
  └─ YOY Sales Growth %,-1%,-39%,-29%,-24%,-26%,4%,-17%,-26%,-12%,-34%,-27%,-17%,-56%
Expenses,61,201,36,40,40,67,40,25,35,28,22,22,27
  └─ Material Cost %,68.32%,491.55%,51.17%,52.73%,52.51%,35.97%,59.11%,45.86%,53.90%,44.71%,45.77%,44.25%,49.41%
  └─ Employee Cost %,16.99%,23.82%,21.58%,29.07%,23.52%,18.10%,20.53%,25.39%,19.97%,34.32%,26.69%,27.17%,23.14%
Operating Profit,-5,-164,-0,-6,1,-28,-11,-1,1,-2,-0,-1,-11
OPM %,-9%,-444%,-1%,-18%,3%,-74%,-37%,-3%,3%,-10%,-1%,-5%,-68%
Other Income,0,1,0,2,0,8,0,0,0,4,0,0,0
  └─ Other income normal,0.05,0.68,0.11,2.20,0.04,7.63,0.06,0.03,0.07,4.22,0.38,0.21,0.00
Interest,9,9,11,12,13,-33,0,0,0,2,1,2,1
Depreciation,4,96,5,5,5,6,4,4,7,6,5,5,5
Profit before tax,-18,-268,-16,-20,-17,7,-15,-5,-6,-5,-5,-7,-17
Tax %,0%,-1%,0%,0%,-3%,21%,0%,0%,0%,2%,0%,0%,0%
Net Profit,-18,-266,-16,-20,-16,5,-15,-5,-6,-6,-5,-7,-17
  └─ Profit excl Excep,-18,-266,-16,-20,-16,5,-15,-5,-6,-6,-5,-7,-17
  └─ Profit for PE,-18,-266,-16,-20,-16,5,-15,-5,-6,-6,-5,-7,-17
  └─ Profit for EPS,-18,-266,-16,-20,-16,5,-15,-5,-6,-6,-5,-7,-17
  └─ YOY Profit Growth %,23%,-1351%,30%,8%,12%,102%,2%,75%,63%,-206%,64%,-42%,-177%
EPS in Rs,-2.21,-32.08,-1.88,-2.45,-1.94,0.63,-1.84,-0.62,-0.72,-0.68,-0.66,-0.88,-2.00
Raw PDF,,,,,,,,,,,,,
