Metric,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,10,29,30,47,41,63,81,103,100
Expenses,6,22,24,36,33,50,59,75,73
  └─ Material Cost %,50%,0%,72%,73%,61%,72%,55%,61%,56%
  └─ Employee Cost %,8%,2%,4%,2%,6%,5%,5%,3%,8%
Operating Profit,4,7,6,11,9,13,22,27,28
OPM %,39%,24%,20%,23%,21%,20%,28%,27%,28%
Other Income,1,0,1,0,1,3,0,0,2
  └─ Other income normal,0.78,0.00,1.03,0.13,0.53,2.68,0.31,0.27,2.49
Interest,0,0,0,0,0,0,0,0,1
Depreciation,1,1,1,1,1,2,1,3,3
Profit before tax,4,6,6,10,8,14,22,25,26
Tax %,28%,26%,27%,25%,19%,24%,10%,10%,11%
Net Profit,3,5,4,8,7,11,20,22,23
  └─ Minority share,0.00,0.00,-0.03,-0.03,-1.12,-0.78,-3.48,-1.16,-3.39
  └─ Profit excl Excep,2.96,4.70,4.45,7.68,6.55,10.61,19.65,22.11,23.13
  └─ Profit for PE,2.96,4.70,4.42,7.65,5.43,9.83,16.17,20.95,19.74
  └─ Profit for EPS,2.96,4.70,4.42,7.65,5.43,9.83,16.17,20.95,19.74
EPS in Rs,2960.00,4700.00,5.15,6.44,4.19,7.58,12.47,15.01,13.37
Raw PDF,,,,,,,,,
