Metric,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,64,56,56,94,99,170,197,171,114
Expenses,61,50,48,87,88,158,189,164,103
  └─ Material Cost %,87.67%,80.08%,78.62%,0.00%,83.76%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,2.12%,2.77%,3.38%,2.24%,2.75%,1.90%,1.51%,2.10%,3.86%
Operating Profit,3,6,8,8,11,13,9,8,11
OPM %,5%,11%,15%,8%,11%,7%,4%,4%,10%
Other Income,0,0,0,1,2,2,2,2,2
  └─ Other income normal,0.14,0.08,0.41,0.57,1.74,2.09,2.33,2.01,2.38
Interest,0,0,1,1,1,0,1,1,1
Depreciation,0,0,1,1,2,3,3,3,3
Profit before tax,3,6,7,6,10,12,8,6,9
Tax %,27%,25%,27%,26%,26%,26%,27%,26%,27%
Net Profit,3,4,6,5,7,9,5,5,7
  └─ Profit from Associates,0.52,-0.18,0.27,0.23,0.13,0.42,-0.20,0.33,-0.25
  └─ Profit excl Excep,3.02,4.34,5.51,4.58,7.45,9.19,5.39,4.62,6.53
  └─ Profit for PE,3.02,4.34,5.51,4.58,7.45,9.19,5.39,4.62,6.53
  └─ Profit for EPS,3.02,4.34,5.51,4.58,7.45,9.19,5.39,4.62,6.53
EPS in Rs,15.46,22.21,5.64,3.44,5.60,6.90,4.05,3.47,4.91
Raw PDF,,,,,,,,,
