Metric,Jun 2019
Sales,107.05
Expenses,93.95
  └─ Material Cost %,56%
  └─ Employee Cost %,8%
Operating Profit,13.10
OPM %,12.24%
Other Income,0.17
  └─ Other income normal,0.17
Interest,2.78
Depreciation,4.71
Profit before tax,5.78
Tax %,-20.07%
Net Profit,6.94
  └─ Profit excl Excep,6.94
  └─ Profit for PE,6.94
  └─ Profit for EPS,6.94
EPS in Rs,3.17
Raw PDF,
