Metric,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Revenue,289,272,325,343,365,353,395,411,450,467,497,508,546
  └─ YOY Sales Growth %,23.47%,16.45%,20.12%,10.52%,26.13%,29.76%,21.55%,20.08%,23.17%,32.34%,25.83%,23.51%,21.42%
Interest,115,113,116,125,124,135,141,150,165,187,204,217,222
Expenses,76,80,86,97,89,98,110,117,118,132,129,134,139
  └─ Employee Cost %,17.37%,17.16%,17.84%,17.63%,18.98%,19.23%,19.64%,19.59%,16.82%,20.32%,16.51%,16.36%,17.56%
Financing Profit,98,79,123,120,153,121,144,144,167,148,164,157,186
Financing Margin %,34%,29%,38%,35%,42%,34%,37%,35%,37%,32%,33%,31%,34%
Other Income,2,0,1,0,0,0,0,1,1,0,1,1,1
  └─ Other income normal,1.88,0.09,0.60,0.29,0.22,0.09,0.33,0.71,0.71,0.04,0.78,1.19,0.78
Depreciation,5,5,6,6,7,6,7,7,9,7,8,9,9
Profit before tax,95,74,118,115,146,114,138,138,159,141,157,150,177
Tax %,8%,20%,22%,23%,21%,22%,22%,22%,20%,22%,23%,22%,20%
Net Profit,87,59,92,89,115,89,107,107,127,110,122,117,142
  └─ Profit excl Excep,87,59,92,89,115,89,107,107,127,110,122,117,142
  └─ Profit for PE,87,59,92,89,115,89,107,107,127,110,122,117,142
  └─ Profit for EPS,87,59,92,89,115,89,107,107,127,110,122,117,142
  └─ YOY Profit Growth %,46%,18%,39%,4%,32%,51%,16%,21%,10%,23%,14%,9%,12%
EPS in Rs,11.14,7.52,11.65,11.25,14.63,11.28,13.49,13.55,16.04,13.89,15.38,14.75,18.00
Gross NPA %,,,,,,,,,,1.00%,,,0.94%
Net NPA %,,,,,,,,,,0.73%,,,0.67%
Raw PDF,,,,,,,,,,,,,
