Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,102.53,102.89,107.52,104.16,122.13,112.24,117.01
  └─ YOY Sales Growth %,,,,,19.12%,9.09%,8.83%
Expenses,92.89,93.15,97.69,94.53,110.36,101.09,106.23
  └─ Material Cost %,63%,62%,63%,57%,59%,57%,57%
  └─ Employee Cost %,11%,11%,5%,12%,11%,11%,11%
Operating Profit,9.64,9.74,9.83,9.63,11.77,11.15,10.78
OPM %,9.40%,9.47%,9.14%,9.25%,9.64%,9.93%,9.21%
Other Income,0.05,0.05,0.03,0.06,0.06,-1.11,0.11
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-1.17,0.00
  └─ Other income normal,0.05,0.05,0.03,0.06,0.06,0.06,0.11
Interest,4.58,4.53,4.76,4.62,4.83,4.99,4.53
Depreciation,2.92,2.97,3.01,3.01,3.07,3.08,3.02
Profit before tax,2.19,2.29,2.09,2.06,3.93,1.97,3.34
Tax %,28.31%,25.33%,30.14%,28.16%,27.23%,43.15%,27.25%
Net Profit,1.58,1.70,1.47,1.48,2.86,1.12,2.43
  └─ Exceptional items AT,0,0,0,0,0,-1,0
  └─ Profit excl Excep,2,2,1,1,3,2,2
  └─ Profit for PE,2,2,1,1,3,2,2
  └─ Profit for EPS,2,2,1,1,3,1,2
  └─ YOY Profit Growth %,,,,,81%,5%,65%
EPS in Rs,0.89,0.92,0.80,0.77,1.49,0.58,1.26
Raw PDF,,,,,,,
