Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,257,298,215,228,230,251,265,247,271,250,313,237,245
  └─ YOY Sales Growth %,55.57%,80.22%,16.13%,2.77%,-10.55%,-15.82%,23.23%,8.03%,17.70%,-0.65%,17.92%,-4.06%,-9.40%
Expenses,225,220,393,184,184,197,210,215,225,212,244,225,215
  └─ Material Cost %,9.56%,5.53%,2.91%,2.60%,3.56%,5.52%,3.97%,5.76%,3.59%,3.03%,11.21%,3.92%,4.22%
  └─ Employee Cost %,6.07%,7.53%,8.92%,8.79%,7.96%,8.97%,7.22%,7.95%,7.21%,7.67%,5.75%,9.20%,9.21%
Operating Profit,32,78,-177,44,46,54,55,31,45,37,69,12,31
OPM %,12%,26%,-82%,19%,20%,21%,21%,13%,17%,15%,22%,5%,12%
Other Income,125,40,12,7,6,10,13,20,7,15,32,42,26
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,-0.50,1.42
  └─ Other income normal,125.47,39.60,11.89,6.78,6.20,10.08,12.97,20.08,6.18,14.66,31.93,42.25,24.68
Interest,25,32,33,36,38,36,33,35,36,36,29,37,35
Depreciation,48,50,54,49,57,52,46,54,54,56,59,59,68
Profit before tax,84,36,-252,-34,-42,-23,-12,-38,-38,-40,13,-42,-46
Tax %,-47%,-49%,-7%,-14%,-100%,-107%,-217%,-25%,-27%,-34%,-575%,-7%,2%
Net Profit,124,53,-234,-30,0,2,14,-29,-27,-27,84,-39,-46
  └─ Minority share,-32,-5,2,7,-12,-7,-3,-3,-2,-4,-5,0,-2
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,1,0,0,-0,1
  └─ Profit excl Excep,124,53,-234,-30,0,2,14,-29,-28,-27,84,-39,-48
  └─ Profit for PE,92,49,-233,-23,-12,-5,11,-32,-31,-30,79,-38,-49
  └─ Profit for EPS,92,49,-233,-23,-12,-5,11,-32,-30,-30,79,-39,-48
  └─ YOY Profit Growth %,163%,149%,-2286%,62%,-112%,-111%,105%,-38%,-165%,-466%,644%,-21%,-62%
EPS in Rs,32.09,16.88,-80.78,-7.96,-3.41,-1.58,3.15,-9.39,-8.87,-8.97,23.46,-11.53,-14.23
Raw PDF,,,,,,,,,,,,,
