Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.91,4.01,3.84,5.17,4.69,3.62,3.36,4.01,3.51,3.56,4.07,4.43
  └─ YOY Sales Growth %,,,,,19.95%,-9.73%,-12.50%,-22.44%,-25.16%,-1.66%,21.13%,10.47%
Expenses,3.73,3.79,3.69,4.63,4.38,3.62,3.43,3.76,3.29,3.37,3.65,4.12
  └─ Material Cost %,18.67%,2.74%,7.03%,12.57%,19.62%,13.81%,17.56%,17.46%,22.51%,19.38%,13.27%,19.64%
  └─ Employee Cost %,14.83%,13.22%,15.36%,11.99%,11.73%,15.47%,16.67%,16.46%,12.82%,6.18%,5.16%,8.13%
Operating Profit,0.18,0.22,0.15,0.54,0.31,0.00,-0.07,0.25,0.22,0.19,0.42,0.31
OPM %,4.60%,5.49%,3.91%,10.44%,6.61%,0.00%,-2.08%,6.23%,6.27%,5.34%,10.32%,7.00%
Other Income,0.05,0.05,0.06,0.22,0.05,0.21,0.04,0.09,0.04,0.08,0.04,0.09
  └─ Other income normal,0.05,0.05,0.06,0.22,0.05,0.21,0.04,0.09,0.04,0.08,0.04,0.09
Interest,0.05,0.04,0.05,0.05,0.07,0.05,0.07,0.08,0.04,0.04,0.04,0.04
Depreciation,0.11,0.11,0.11,0.17,0.13,0.13,0.13,0.05,0.11,0.11,0.09,0.09
Profit before tax,0.07,0.12,0.05,0.54,0.16,0.03,-0.23,0.21,0.11,0.12,0.33,0.27
Tax %,28.57%,25.00%,40.00%,22.22%,18.75%,66.67%,-65.22%,66.67%,0.00%,91.67%,12.12%,37.04%
Net Profit,0.05,0.09,0.03,0.42,0.14,0.02,-0.08,0.08,0.11,0.02,0.29,0.16
  └─ Profit excl Excep,0,0,0,0,0,0,-0,0,0,0,0,0
  └─ Profit for PE,0,0,0,0,0,0,-0,0,0,0,0,0
  └─ Profit for EPS,0,0,0,0,0,0,-0,0,0,0,0,0
  └─ YOY Profit Growth %,,,,,180%,-78%,-367%,-81%,-21%,0%,462%,100%
EPS in Rs,0.67,1.21,0.40,5.67,1.89,0.27,-1.08,1.08,1.48,0.27,3.91,2.16
Raw PDF,,,,,,,,,,,,
