Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,34.48,19.83,22.97,19.27,25.87,18.27,26.74,38.14,77.71,66.79,58.26,27.20,57.92
  └─ YOY Sales Growth %,-1.12%,-37.86%,-14.13%,-35.01%,-24.97%,-7.87%,16.41%,97.92%,200.39%,265.57%,117.88%,-28.68%,-25.47%
Expenses,31.41,18.12,19.64,17.23,25.34,16.14,24.93,35.22,74.89,65.21,53.45,24.39,52.03
  └─ Material Cost %,86%,78%,69%,79%,87%,78%,86%,82%,93%,90%,83%,68%,87%
  └─ Employee Cost %,3%,6%,6%,6%,6%,7%,5%,4%,2%,2%,4%,6%,4%
Operating Profit,3.07,1.71,3.33,2.04,0.53,2.13,1.81,2.92,2.82,1.58,4.81,2.81,5.89
OPM %,8.90%,8.62%,14.50%,10.59%,2.05%,11.66%,6.77%,7.66%,3.63%,2.37%,8.26%,10.33%,10.17%
Other Income,1.75,0.88,0.30,0.21,1.31,0.86,1.44,0.73,0.35,1.24,1.91,-0.33,0.53
  └─ Other income normal,1.75,0.88,0.30,0.21,1.31,0.86,1.44,0.73,0.35,1.24,1.91,-0.33,0.53
Interest,0.92,0.62,0.53,0.92,0.75,0.55,0.77,2.14,2.24,1.79,2.22,1.21,1.86
Depreciation,0.05,0.04,0.05,0.07,0.05,0.05,0.06,0.53,0.51,0.53,0.52,0.53,0.50
Profit before tax,3.85,1.93,3.05,1.26,1.04,2.39,2.42,0.98,0.42,0.50,3.98,0.74,4.06
Tax %,24.68%,10.88%,32.79%,23.02%,40.38%,18.41%,23.97%,51.02%,-95.24%,-6.00%,22.36%,24.32%,34.48%
Net Profit,2.90,1.73,2.05,0.97,0.62,1.94,1.83,0.47,0.81,0.53,3.10,0.56,2.66
  └─ Minority share,0,0,0,0,-0,0,0,0,1,1,0,1,-2
  └─ Profit excl Excep,3,2,2,1,1,2,2,0,1,1,3,1,3
  └─ Profit for PE,3,2,2,1,1,2,2,1,2,1,3,1,1
  └─ Profit for EPS,3,2,2,1,1,2,2,1,2,1,3,1,1
  └─ YOY Profit Growth %,-10%,-32%,41%,-6%,-79%,13%,-9%,-6%,195%,-37%,68%,21%,-53%
EPS in Rs,1.74,1.03,1.26,0.61,0.36,1.17,1.15,0.57,1.08,0.74,1.93,0.69,0.50
Raw PDF,,,,,,,,,,,,,
