Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,99.43,105.91,117.61,104.84,129.86,127.42,141.09
  └─ YOY Sales Growth %,,,,,30.60%,20.31%,19.96%
Expenses,90.05,94.39,104.33,92.96,114.99,114.37,126.00
  └─ Material Cost %,71%,70%,72%,68%,70%,69%,72%
  └─ Employee Cost %,7%,7%,6%,8%,7%,8%,7%
Operating Profit,9.38,11.52,13.28,11.88,14.87,13.05,15.09
OPM %,9.43%,10.88%,11.29%,11.33%,11.45%,10.24%,10.70%
Other Income,0.52,0.07,0.15,1.17,0.02,0.27,0.31
  └─ Other income normal,0.52,0.07,0.15,1.17,0.02,0.27,0.31
Interest,2.39,3.42,3.01,3.07,3.62,3.40,2.01
Depreciation,1.49,1.91,2.01,2.13,2.21,2.28,2.22
Profit before tax,6.02,6.26,8.41,7.85,9.06,7.64,11.17
Tax %,24.25%,28.75%,25.68%,27.13%,26.93%,25.39%,23.72%
Net Profit,4.56,4.46,6.24,5.72,6.62,5.70,8.52
  └─ Profit excl Excep,4.56,4.46,6.24,5.72,6.62,5.70,8.52
  └─ Profit for PE,4.56,4.46,6.24,5.72,6.62,5.70,8.52
  └─ Profit for EPS,4.56,4.46,6.24,5.72,6.62,5.70,8.52
  └─ YOY Profit Growth %,,,,,45.18%,27.80%,36.54%
EPS in Rs,1.86,1.82,2.55,2.33,2.70,2.33,3.48
Raw PDF,,,,,,,
