Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,217,208,184,96,197,217,228,212,238,239,246,269,267
  └─ YOY Sales Growth %,-13.11%,-8.96%,-21.61%,-58.76%,-9.30%,4.13%,23.93%,121.65%,20.50%,10.24%,7.81%,26.76%,12.55%
Expenses,184,180,162,108,170,186,193,175,192,193,203,224,220
  └─ Material Cost %,52%,54%,54%,59%,56%,55%,52%,51%,50%,50%,50%,52%,52%
  └─ Employee Cost %,15%,15%,16%,27%,15%,14%,16%,15%,14%,15%,16%,14%,13%
Operating Profit,33,29,22,-13,27,31,35,37,45,46,43,45,47
OPM %,15%,14%,12%,-13%,14%,14%,15%,18%,19%,19%,17%,17%,18%
Other Income,1,-1,1,6,0,1,3,1,2,4,2,2,1
  └─ Exceptional items,-0.30,-2.20,-0.20,-2.40,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.90,1.20,1.60,8.90,1.40,1.00,3.20,1.30,1.80,3.50,2.10,1.90,1.20
Interest,0,1,1,0,0,0,0,0,0,0,0,0,0
Depreciation,8,8,9,10,10,10,9,9,9,9,9,9,9
Profit before tax,26,19,14,-16,18,23,29,29,38,41,36,38,39
Tax %,20%,29%,30%,-41%,27%,27%,23%,26%,25%,25%,25%,26%,19%
Net Profit,20,13,10,-10,13,16,22,22,28,31,27,28,32
  └─ Exceptional items AT,-0.24,-1.56,-0.14,-2.40,-0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,20.74,14.76,9.84,-7.10,13.93,16.50,22.00,21.60,28.30,30.60,26.90,28.10,31.50
  └─ Profit for PE,20.74,14.76,9.84,-7.10,13.93,16.50,22.00,21.60,28.30,30.60,26.90,28.10,31.50
  └─ Profit for EPS,20.50,13.20,9.70,-9.50,13.20,16.50,22.00,21.60,28.30,30.60,26.90,28.10,31.50
  └─ YOY Profit Growth %,-3.53%,-60.74%,-28.18%,-140.34%,-32.84%,11.79%,123.58%,404.23%,103.16%,85.45%,22.27%,30.09%,11.31%
EPS in Rs,9.33,6.01,4.41,-4.32,6.01,7.51,10.01,9.83,12.88,13.92,12.24,12.79,14.33
Raw PDF,,,,,,,,,,,,,
