Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,122,127,146,140,167,151,156,208,267,273,210,236,351
  └─ YOY Sales Growth %,54.37%,16.02%,50.22%,28.14%,36.38%,3.11%,11.54%,24.50%,,81.50%,34.44%,13.38%,31.41%
Expenses,47,50,58,54,52,76,83,132,161,174,129,150,217
  └─ Employee Cost %,8.56%,5.39%,5.49%,6.18%,5.39%,7.00%,6.79%,5.46%,5.14%,6.69%,10.35%,10.67%,8.17%
Operating Profit,75,77,88,86,115,74,73,76,107,100,81,85,134
OPM %,61%,60%,60%,62%,69%,49%,47%,37%,40%,36%,38%,36%,38%
Other Income,6,5,6,5,6,20,8,6,7,7,8,-3,9
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.39,0.50
  └─ Other income normal,6.49,4.70,6.03,4.75,5.96,19.85,8.13,6.26,6.51,7.40,7.68,5.73,8.37
Interest,4,5,5,7,7,6,6,6,7,7,7,9,13
Depreciation,31,31,33,34,32,33,33,31,31,31,31,33,36
Profit before tax,46,46,56,50,82,56,42,45,75,68,50,40,95
Tax %,25%,26%,26%,26%,25%,27%,30%,26%,28%,26%,27%,28%,27%
Net Profit,35,34,42,37,61,40,29,33,54,50,36,29,69
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-6,0
  └─ Profit excl Excep,35,34,42,37,61,40,29,33,54,50,36,35,68
  └─ Profit for PE,35,34,42,37,61,40,29,33,54,50,36,35,68
  └─ Profit for EPS,35,34,42,37,61,40,29,33,54,50,36,29,69
  └─ YOY Profit Growth %,294%,83%,188%,29%,76%,-3%,-22%,-46%,,24%,25%,6%,27%
EPS in Rs,4.01,3.92,4.83,4.30,7.08,4.68,3.36,3.82,6.22,5.81,4.19,3.35,7.95
Raw PDF,,,,,,,,,,,,,
