Metric,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Revenue,0.13,0.13,0.12,0.21,0.17,0.17,0.11,0.25,0.11,0.12,0.44,0.09,0.08
  └─ YOY Sales Growth %,0.00%,0.00%,0.00%,-25.00%,30.77%,30.77%,-8.33%,19.05%,-35.29%,-29.41%,300.00%,-64.00%,-27.27%
Interest,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.14
Expenses,0.10,0.10,0.12,0.11,0.27,0.08,0.13,0.14,0.20,0.18,0.20,0.19,0.36
  └─ Employee Cost %,46%,46%,50%,24%,47%,35%,73%,48%,118%,117%,36%,178%,250%
Financing Profit,0.02,0.02,-0.01,0.09,-0.11,0.08,-0.03,0.10,-0.09,-0.06,0.24,-0.12,-0.42
Financing Margin %,15.38%,15.38%,-8.33%,42.86%,-64.71%,47.06%,-27.27%,40.00%,-81.82%,-50.00%,54.55%,-133.33%,-525.00%
Other Income,0.04,0.03,0.07,0.02,0.00,0.15,0.14,-0.05,0.16,0.29,0.23,-0.21,0.47
  └─ Other income normal,0.04,0.03,0.07,0.02,0.00,0.15,0.14,-0.05,0.16,0.29,0.23,-0.21,0.47
Depreciation,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05
Profit before tax,0.02,0.01,0.02,0.07,-0.15,0.19,0.07,0.01,0.03,0.19,0.43,-0.38,0.00
Tax %,50.00%,0.00%,0.00%,14.29%,0.00%,5.26%,28.57%,0.00%,33.33%,21.05%,25.58%,-26.32%,
Net Profit,0.13,0.27,0.43,-0.10,-0.44,0.48,0.47,-0.51,0.21,0.84,0.81,0.11,0.14
  └─ Profit from Associates,0.12,0.26,0.42,-0.16,-0.29,0.30,0.42,-0.51,0.19,0.70,0.50,0.39,0.14
  └─ Profit excl Excep,0.13,0.27,0.43,-0.10,-0.44,0.48,0.47,-0.51,0.21,0.84,0.81,0.11,0.14
  └─ Profit for PE,0.13,0.27,0.43,-0.10,-0.44,0.48,0.47,-0.51,0.21,0.84,0.81,0.11,0.14
  └─ Profit for EPS,0.13,0.27,0.43,-0.10,-0.44,0.48,0.47,-0.51,0.21,0.84,0.81,0.11,0.14
  └─ YOY Profit Growth %,44.44%,8.00%,,-190.91%,-438.46%,77.78%,9.30%,-410.00%,147.73%,75.00%,72.34%,121.57%,-33.33%
EPS in Rs,0.08,0.17,0.27,-0.06,-0.28,0.31,0.30,-0.32,0.13,0.54,0.52,0.07,0.09
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
