Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,10.23,14.50,3.29,9.97,12.12,10.47,8.78,8.46,18.48
  └─ YOY Sales Growth %,,,,,18%,-28%,167%,-15%,52%
Expenses,10.15,12.41,2.76,5.04,8.33,8.42,7.43,4.39,15.71
  └─ Material Cost %,94%,80%,62%,28%,63%,76%,75%,42%,78%
  └─ Employee Cost %,1%,1%,3%,2%,1%,2%,5%,6%,3%
Operating Profit,0.08,2.09,0.53,4.93,3.79,2.05,1.35,4.07,2.77
OPM %,0.78%,14.41%,16.11%,49.45%,31.27%,19.58%,15.38%,48.11%,14.99%
Other Income,0.71,0.04,0.02,0.04,0.25,0.02,-0.02,0.05,0.06
  └─ Other income normal,0.71,0.04,0.02,0.04,0.25,0.02,-0.02,0.05,0.06
Interest,0.10,0.01,0.28,0.01,0.01,0.03,0.03,0.09,0.09
Depreciation,0.02,0.01,0.01,0.07,0.09,0.11,0.10,0.16,0.17
Profit before tax,0.67,2.11,0.26,4.89,3.94,1.93,1.20,3.87,2.57
Tax %,13.43%,15.64%,7.69%,26.18%,-5.84%,20.21%,0.00%,71.83%,31.52%
Net Profit,0.58,1.78,0.24,3.62,4.15,1.53,1.20,1.10,1.77
  └─ Minority share,0.00,-0.17,0.06,-0.22,-0.23,-0.14,-0.15,-0.15,0.23
  └─ Profit excl Excep,0.58,1.78,0.24,3.62,4.15,1.53,1.20,1.10,1.77
  └─ Profit for PE,0.58,1.61,0.30,3.40,3.92,1.39,1.05,0.95,2.00
  └─ Profit for EPS,0.58,1.61,0.30,3.40,3.92,1.39,1.05,0.95,2.00
  └─ YOY Profit Growth %,,,,,575.86%,-13.66%,250.00%,-72.06%,-48.98%
EPS in Rs,0.27,0.74,0.14,1.57,1.81,0.64,0.48,0.44,0.92
Raw PDF,,,,,,,,,
