Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,133.08,175.17,159.84,155.97,166.08,153.35
  └─ YOY Sales Growth %,,,,,24.80%,-12.46%
Expenses,127.17,167.49,154.41,148.48,159.44,145.71
  └─ Material Cost %,0.01%,-3.07%,-0.04%,-0.89%,-0.62%,-0.65%
  └─ Employee Cost %,3.48%,1.04%,2.27%,2.38%,2.27%,2.30%
Operating Profit,5.91,7.68,5.43,7.49,6.64,7.64
OPM %,4.44%,4.38%,3.40%,4.80%,4.00%,4.98%
Other Income,0.11,1.72,1.21,1.90,1.40,1.43
  └─ Other income normal,0.11,1.72,1.21,1.90,1.40,1.43
Interest,0.94,0.55,0.32,1.73,0.97,1.17
Depreciation,0.81,1.78,1.27,1.27,1.19,1.07
Profit before tax,4.27,7.07,5.05,6.39,5.88,6.83
Tax %,28.81%,35.79%,18.81%,19.41%,25.85%,28.11%
Net Profit,3.05,4.54,4.11,5.15,4.36,4.91
  └─ Minority share,-0.26,-0.28,-0.03,-0.85,0.51,-0.16
  └─ Profit excl Excep,3.05,4.54,4.11,5.15,4.36,4.91
  └─ Profit for PE,2.79,4.26,4.08,4.30,4.87,4.75
  └─ Profit for EPS,2.79,4.26,4.08,4.30,4.87,4.75
  └─ YOY Profit Growth %,,,,,74.55%,11.50%
EPS in Rs,0.11,0.17,0.16,0.17,0.19,0.18
Raw PDF,,,,,,
