Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,15215,15496,15623,15567,15210,15707,15926,15556,15190,16514,15919,16441,16351
  └─ YOY Sales Growth %,10.52%,5.96%,3.16%,-0.19%,-0.03%,1.36%,1.94%,-0.07%,-0.13%,5.14%,-0.04%,5.69%,7.64%
Expenses,11643,11832,11828,11902,11675,11965,12139,11867,11572,12797,12137,12660,12514
  └─ Material Cost %,50.92%,49.55%,47.01%,48.04%,47.71%,48.04%,48.41%,48.86%,48.76%,49.90%,48.46%,48.60%,49.73%
  └─ Employee Cost %,4.85%,4.55%,4.90%,4.54%,5.47%,4.18%,5.16%,4.58%,5.40%,4.40%,4.55%,5.56%,5.18%
Operating Profit,3572,3664,3795,3665,3535,3742,3787,3689,3618,3717,3782,3781,3837
OPM %,23%,24%,24%,24%,23%,24%,24%,24%,24%,23%,24%,23%,23%
Other Income,240,146,178,184,309,209,203,733,149,74,269,4048,503
  └─ Exceptional items,80,-37,-5,-30,78,-48,-16,500,-160,-127,122,3909,239
  └─ Other income normal,160,183,183,214,231,257,219,233,309,201,147,139,264
Interest,29,50,88,91,105,93,110,109,77,127,124,88,76
Depreciation,291,286,297,313,320,329,338,318,318,361,322,337,348
Profit before tax,3492,3474,3588,3445,3419,3529,3542,3995,3372,3303,3605,7404,3916
Tax %,26%,26%,26%,27%,25%,26%,27%,25%,27%,16%,25%,11%,24%
Net Profit,2601,2556,2657,2508,2561,2612,2595,2989,2475,2768,2694,6603,2994
  └─ Minority share,-1,-2,-1,1,-3,-2,-4,-5,-11,-12,-9,4,-2
  └─ Exceptional items AT,60,-27,-4,-22,58,-36,-12,366,-125,-106,68,3736,181
  └─ Profit excl Excep,2541,2583,2661,2530,2503,2648,2607,2623,2600,2874,2626,2867,2813
  └─ Profit for PE,2540,2581,2660,2531,2500,2646,2603,2619,2588,2862,2618,2871,2811
  └─ Profit for EPS,2600,2554,2656,2509,2558,2610,2591,2984,2464,2756,2685,6607,2992
  └─ YOY Profit Growth %,12%,8%,-1%,-1%,-2%,2%,-2%,3%,4%,8%,1%,10%,9%
EPS in Rs,11.07,10.87,11.30,10.68,10.89,11.11,11.03,12.70,10.49,11.73,11.43,28.12,12.73
Raw PDF,,,,,,,,,,,,,
