Metric,Mar 2011,Mar 2012,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2.82,3.31,4.99,0.00,0.00,0.00,0.03
  └─ YOY Sales Growth %,,17.38%,,,,-100.00%,
Expenses,2.69,3.05,4.90,0.00,0.22,0.74,-0.15
  └─ Material Cost %,80%,77%,82%,,,,0%
  └─ Employee Cost %,4%,4%,9%,,,,1367%
Operating Profit,0.13,0.26,0.09,0.00,-0.22,-0.74,0.18
OPM %,4.61%,7.85%,1.80%,,,,600.00%
Other Income,0.10,0.00,0.00,-0.13,0.09,0.33,5.35
  └─ Exceptional items,0.00,0.00,0.00,-0.13,0.00,0.00,0.00
  └─ Other income normal,0.10,0.00,0.00,0.00,0.09,0.33,5.35
Interest,0.11,0.18,0.01,0.00,0.00,0.26,1.03
Depreciation,0.05,0.04,0.03,0.00,0.00,0.60,1.51
Profit before tax,0.07,0.04,0.05,-0.13,-0.13,-1.27,2.99
Tax %,0.00%,0.00%,40.00%,0.00%,-92.31%,-3.94%,255.52%
Net Profit,0.06,0.03,0.03,-0.13,-0.02,-1.22,-4.65
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.01,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,-0.13,0.00,0.00,0.00
  └─ Profit excl Excep,0.06,0.03,0.03,0.00,-0.02,-1.22,-4.65
  └─ Profit for PE,0.06,0.03,0.03,0.00,-0.02,-1.21,-4.65
  └─ Profit for EPS,0.06,0.03,0.03,-0.13,-0.02,-1.21,-4.65
  └─ YOY Profit Growth %,,-50.00%,,,,-4133.33%,
EPS in Rs,0.75,0.38,0.33,-1.44,-0.22,-0.84,-3.21
Raw PDF,,,,,,,
