Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1054,1049,1069,1080,1049,1076,1050,985
  └─ YOY Sales Growth %,,,,,-0.47%,2.56%,-1.78%,-8.75%
Expenses,991,1008,990,1009,982,993,960,913
  └─ Material Cost %,83%,83%,82%,82%,81%,80%,79%,79%
  └─ Employee Cost %,3%,3%,3%,3%,3%,3%,3%,3%
Operating Profit,63,41,78,71,68,83,90,73
OPM %,6%,4%,7%,7%,6%,8%,9%,7%
Other Income,4,3,3,10,11,5,8,5
  └─ Other income normal,4.31,2.71,2.81,10.43,10.76,5.44,8.11,4.83
Interest,6,8,1,7,5,5,5,5
Depreciation,18,18,18,19,19,19,20,19
Profit before tax,44,18,62,55,55,64,74,53
Tax %,26%,27%,24%,26%,26%,25%,26%,25%
Net Profit,32,13,47,41,41,48,55,40
  └─ Profit excl Excep,32.28,13.34,47.13,41.09,40.66,47.55,54.96,40.08
  └─ Profit for PE,32.28,13.34,47.13,41.09,40.66,47.55,54.96,40.08
  └─ Profit for EPS,32.28,13.34,47.13,41.09,40.66,47.55,54.96,40.08
  └─ YOY Profit Growth %,,,,,25.96%,256.45%,16.61%,-2.46%
EPS in Rs,0.73,0.30,1.06,0.93,0.92,1.07,1.24,0.90
Raw PDF,,,,,,,,
