Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,16.94,21.39,22.77,21.33,24.67,25.68,23.36,23.65,3.04,14.38,13.86,8.81,18.96
Expenses,15.19,3.07,4.48,3.80,7.00,9.19,4.43,6.64,1.88,9.68,8.20,2.45,9.83
  └─ Material Cost %,0.00%,0.00%,0.09%,1.13%,-0.41%,11.06%,-4.28%,8.46%,44.08%,52.71%,37.16%,-3.86%,29.43%
  └─ Employee Cost %,7.20%,3.55%,4.44%,4.22%,5.55%,7.44%,12.20%,7.48%,9.54%,4.31%,8.80%,10.10%,5.70%
Operating Profit,1.75,18.32,18.29,17.53,17.67,16.49,18.93,17.01,1.16,4.70,5.66,6.36,9.13
OPM %,10.33%,85.65%,80.32%,82.18%,71.63%,64.21%,81.04%,71.92%,38.16%,32.68%,40.84%,72.19%,48.15%
Other Income,19.27,0.70,0.58,0.54,0.52,0.28,0.37,0.45,0.22,0.61,1.99,1.55,1.16
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.03
  └─ Other income normal,19.27,0.70,0.58,0.54,0.52,0.28,0.37,0.45,0.22,0.61,1.99,1.58,1.13
Interest,6.01,8.31,6.67,6.11,5.71,5.12,4.93,4.28,-0.27,2.24,2.86,4.81,6.31
Depreciation,5.85,8.24,8.15,8.06,8.07,7.96,7.99,7.98,1.00,4.50,-0.58,3.00,3.87
Profit before tax,9.16,2.47,4.05,3.90,4.41,3.69,6.38,5.20,0.65,-1.43,5.37,0.10,0.11
Tax %,17.58%,18.22%,51.11%,17.18%,30.61%,19.51%,15.99%,16.15%,72.31%,0.00%,0.74%,20.00%,509.09%
Net Profit,8.59,2.10,2.20,4.21,3.53,3.60,6.81,5.04,1.59,-0.29,7.26,1.82,-1.17
  └─ Profit from Associates,1.04,0.08,0.22,0.98,0.45,0.63,1.46,0.68,1.41,1.14,1.93,1.74,-0.71
  └─ Minority share,-0.01,-0.12,-0.12,-0.44,-0.04,0.21,-0.75,-0.35,0.35,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.14
  └─ Profit excl Excep,8.59,2.10,2.20,4.21,3.53,3.60,6.81,5.04,1.59,-0.29,7.26,1.85,-1.03
  └─ Profit for PE,8.58,1.98,2.08,3.77,3.49,3.81,6.06,4.69,1.94,-0.29,7.26,1.85,-1.03
  └─ Profit for EPS,8.58,1.98,2.08,3.77,3.49,3.81,6.06,4.69,1.94,-0.29,7.26,1.82,-1.17
EPS in Rs,6.45,1.49,1.56,2.84,2.63,2.87,4.57,3.54,1.46,-0.22,5.47,1.37,-0.88
Raw PDF,,,,,,,,,,,,,
