Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,124,103,95,102,126,134,142,134,153,150,121,121,144
  └─ YOY Sales Growth %,0.24%,-36.98%,-24.52%,8.82%,1.77%,30.64%,48.55%,30.91%,21.26%,11.62%,-14.62%,-9.77%,-5.70%
Expenses,132,104,90,97,117,121,128,122,136,139,111,110,125
  └─ Material Cost %,86%,77%,70%,70%,70%,67%,67%,65%,65%,69%,67%,66%,66%
  └─ Employee Cost %,3%,5%,5%,6%,4%,5%,4%,5%,4%,4%,6%,6%,5%
Operating Profit,-8,-1,5,5,9,14,13,12,17,11,10,10,20
OPM %,-7%,-1%,6%,5%,7%,10%,10%,9%,11%,7%,8%,8%,14%
Other Income,2,1,27,0,1,1,1,2,1,1,2,0,3
  └─ Exceptional items,0.00,0.00,25.80,0.00,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,2.14,0.65,0.76,0.49,0.91,0.78,1.02,1.64,0.61,1.46,1.65,0.10,3.49
Interest,4,3,3,3,4,4,4,4,4,3,3,3,3
Depreciation,4,4,4,4,5,5,5,5,5,5,5,5,5
Profit before tax,-14,-7,25,-1,1,6,5,4,9,4,4,3,15
Tax %,-17%,-19%,10%,63%,29%,28%,39%,47%,25%,39%,42%,15%,28%
Net Profit,-12,-6,23,-2,1,4,3,2,7,3,2,2,11
  └─ Minority share,1.44,1.19,0.86,1.10,1.25,0.80,0.53,0.80,0.77,0.57,0.16,0.22,0.05
  └─ Exceptional items AT,0.00,0.00,22.82,0.00,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-11.68,-5.85,-0.11,-2.12,1.05,4.37,3.31,2.30,6.87,2.59,2.09,2.26,10.82
  └─ Profit for PE,-10.24,-4.66,0.75,-1.02,2.30,5.17,3.84,3.10,7.64,3.16,2.25,2.48,10.87
  └─ Profit for EPS,-10.24,-4.66,23.57,-1.02,2.16,5.17,3.84,3.10,7.64,3.16,2.25,2.48,10.87
  └─ YOY Profit Growth %,-319.27%,-197.90%,-36.97%,86.14%,122.46%,210.94%,412.00%,403.92%,232.17%,-38.88%,-41.41%,-20.00%,42.28%
EPS in Rs,-8.69,-3.95,20.00,-0.87,1.83,4.39,3.26,2.63,6.48,2.68,1.91,2.10,9.22
Raw PDF,,,,,,,,,,,,,
