Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,269,268,266,331,295,434,325,471
  └─ YOY Sales Growth %,,,,,9.82%,61.89%,22.12%,42.41%
Expenses,243,241,239,295,264,384,293,425
  └─ Material Cost %,68%,65%,66%,64%,65%,66%,65%,69%
  └─ Employee Cost %,8%,10%,7%,10%,11%,9%,12%,8%
Operating Profit,26,27,27,35,31,50,33,46
OPM %,10%,10%,10%,11%,10%,12%,10%,10%
Other Income,0,3,0,4,3,3,6,6
  └─ Other income normal,0.17,2.78,0.04,3.58,2.51,2.79,5.93,5.95
Interest,5,6,6,7,7,8,8,8
Depreciation,3,5,5,4,5,6,6,6
Profit before tax,18,19,16,28,21,39,24,38
Tax %,27%,25%,27%,28%,25%,25%,30%,20%
Net Profit,13,14,12,20,16,29,17,30
  └─ Profit excl Excep,13,14,12,20,16,29,17,30
  └─ Profit for PE,13,14,12,20,16,29,17,30
  └─ Profit for EPS,13,14,12,20,16,29,17,30
  └─ YOY Profit Growth %,,,,,21%,104%,45%,51%
EPS in Rs,34.19,1.86,1.50,2.58,2.07,2.93,1.68,3.01
Raw PDF,,,,,,,,
