Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,37.80,93.71,118.65,56.21,127.38
  └─ YOY Sales Growth %,,,,48.70%,35.93%
Expenses,29.47,84.70,89.14,43.77,121.97
  └─ Material Cost %,-4.13%,0.61%,-1.26%,3.77%,2.87%
  └─ Employee Cost %,7.70%,5.58%,3.28%,7.56%,3.05%
Operating Profit,8.33,9.01,29.51,12.44,5.41
OPM %,22.04%,9.61%,24.87%,22.13%,4.25%
Other Income,0.44,0.66,0.48,0.37,4.76
  └─ Other income normal,0.44,0.66,0.48,0.37,4.76
Interest,1.12,2.74,2.15,1.95,2.39
Depreciation,1.73,1.16,2.14,2.31,2.13
Profit before tax,5.92,5.77,25.70,8.55,5.65
Tax %,50.00%,-29.64%,5.25%,53.92%,-41.77%
Net Profit,2.97,7.47,24.35,3.93,8.01
  └─ Profit excl Excep,2.97,7.47,24.35,3.93,8.01
  └─ Profit for PE,2.97,7.47,24.35,3.93,8.01
  └─ Profit for EPS,2.97,7.47,24.35,3.93,8.01
  └─ YOY Profit Growth %,,,,32.32%,7.23%
EPS in Rs,1.21,3.04,9.89,1.60,3.09
Raw PDF,,,,,
