Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1490,1488,1802,1692,2011,1885,1941,1889,2356,2297,2081,2129,2550
  └─ YOY Sales Growth %,69.06%,53.23%,42.53%,29.74%,34.96%,26.71%,7.75%,11.69%,17.14%,21.88%,7.22%,12.65%,8.23%
Expenses,1372,1310,1581,1477,1733,1640,1664,1658,2027,1974,1719,1755,2136
  └─ Material Cost %,77%,74%,75%,72%,72%,74%,73%,75%,73%,73%,69%,70%,70%
  └─ Employee Cost %,9%,8%,7%,8%,8%,7%,7%,7%,8%,7%,8%,8%,7%
Operating Profit,118,177,221,215,279,245,277,232,329,323,363,374,414
OPM %,8%,12%,12%,13%,14%,13%,14%,12%,14%,14%,17%,18%,16%
Other Income,246,11,9,4,18,15,9,20,418,25,26,241,39
  └─ Exceptional items,208.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394.57,0.00,0.00,211.24,0.00
  └─ Other income normal,38.00,11.47,9.06,3.97,18.08,14.97,8.57,20.08,23.14,25.06,25.59,30.25,38.63
Interest,18,18,16,14,14,9,5,4,7,0,0,0,3
Depreciation,63,63,67,68,68,69,69,71,72,70,71,73,72
Profit before tax,284,107,147,137,214,182,211,177,668,278,317,543,378
Tax %,48%,36%,36%,37%,35%,36%,36%,35%,35%,36%,-11%,25%,26%
Net Profit,147,69,94,85,140,116,135,115,435,176,351,406,279
  └─ Minority share,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Exceptional items AT,108,0,0,0,0,0,0,0,257,0,0,152,0
  └─ Profit excl Excep,39,69,94,85,140,116,135,115,178,176,351,254,279
  └─ Profit for PE,39,69,94,85,140,116,135,115,178,176,351,254,279
  └─ Profit for EPS,147,69,94,85,140,116,135,115,435,176,351,406,279
  └─ YOY Profit Growth %,191%,513%,388%,648%,260%,69%,44%,35%,27%,52%,160%,121%,57%
EPS in Rs,111.25,52.06,71.24,64.81,106.45,87.81,102.47,87.51,329.92,133.82,266.14,308.21,211.38
Raw PDF,,,,,,,,,,,,,
