Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Sep 2025,Dec 2025
Sales,194,161,166,232,263,218,246,242,197,221,210,232,235
  └─ YOY Sales Growth %,144.75%,40.87%,17.21%,29.87%,35.50%,36.01%,48.22%,4.53%,-24.98%,1.34%,-14.54%,4.65%,11.98%
Expenses,54,49,48,110,135,69,97,88,46,54,57,55,56
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,36.69%,0.00%,-0.00%,0.01%,-0.01%,-0.00%,-0.01%,0.00%,0.00%
  └─ Employee Cost %,7.89%,9.10%,9.24%,5.92%,6.65%,7.65%,7.73%,6.61%,10.37%,10.00%,8.30%,7.97%,8.42%
Operating Profit,141,111,118,122,129,149,149,154,152,167,153,177,179
OPM %,72%,69%,71%,53%,49%,68%,61%,64%,77%,76%,73%,76%,76%
Other Income,1,5,12,5,4,5,5,5,5,6,7,7,6
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.18
  └─ Other income normal,1.45,5.23,12.31,4.74,4.24,5.23,5.14,4.61,5.35,6.47,6.51,6.91,8.63
Interest,43,44,45,51,38,36,35,32,32,30,28,20,19
Depreciation,14,14,15,15,15,16,17,18,18,18,18,18,18
Profit before tax,85,58,71,61,80,102,101,109,108,126,114,146,149
Tax %,4%,4%,6%,13%,24%,15%,25%,27%,26%,28%,26%,33%,31%
Net Profit,81,55,67,53,61,87,76,80,79,91,84,98,103
  └─ Minority share,-44,-28,-35,-25,-30,-45,-39,-42,-42,-52,-49,-56,-61
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,-1
  └─ Profit excl Excep,81,55,67,53,61,87,76,80,79,91,84,98,104
  └─ Profit for PE,37,27,32,28,30,42,37,37,37,39,35,42,42
  └─ Profit for EPS,37,27,32,28,30,42,37,37,37,39,35,42,42
  └─ YOY Profit Growth %,1642%,190%,42%,31%,-19%,58%,17%,33%,22%,-8%,-7%,9%,22%
EPS in Rs,9.94,7.14,8.49,7.43,8.02,11.26,9.90,9.90,9.81,10.38,9.20,11.27,11.05
Raw PDF,,,,,,,,,,,,,
