Metric,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,0.00,1.29,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.10
  └─ YOY Sales Growth %,,,,-100.00%,,-100.00%,-100.00%,,,,,,
Expenses,0.11,1.02,0.15,0.13,0.16,0.06,0.06,0.09,0.15,0.06,0.07,0.54,0.15
  └─ Material Cost %,,64%,175%,,,,,,,,,96%,90%
  └─ Employee Cost %,,12%,125%,,,,,,,,,7%,30%
Operating Profit,-0.11,0.27,-0.11,-0.13,-0.16,-0.06,-0.06,-0.09,-0.15,-0.06,-0.07,-0.08,-0.05
OPM %,,20.93%,-275.00%,,,,,,,,,-17.39%,-50.00%
Other Income,0.07,0.08,0.10,0.17,0.08,0.10,0.16,0.22,0.17,0.22,0.22,0.40,0.28
  └─ Other income normal,0.07,0.08,0.10,0.17,0.08,0.10,0.16,0.22,0.17,0.22,0.22,0.40,0.28
Interest,0.01,0.03,0.05,0.07,0.01,0.01,0.04,0.05,0.09,0.10,0.10,0.23,0.22
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-0.06,0.31,-0.07,-0.04,-0.10,0.02,0.05,0.07,-0.08,0.05,0.04,0.08,0.00
Tax %,33.33%,22.58%,-28.57%,0.00%,-10.00%,-50.00%,20.00%,28.57%,0.00%,0.00%,0.00%,62.50%,
Net Profit,-0.07,0.24,-0.05,-0.03,-0.08,0.03,0.05,0.05,-0.08,0.06,0.04,0.03,0.00
  └─ Profit excl Excep,-0,0,-0,-0,-0,0,0,0,-0,0,0,0,0
  └─ Profit for PE,-0,0,-0,-0,-0,0,0,0,-0,0,0,0,0
  └─ Profit for EPS,-0,0,-0,-0,-0,0,0,0,-0,0,0,0,0
  └─ YOY Profit Growth %,,,,-120%,-14%,-88%,200%,267%,0%,100%,-20%,-40%,100%
EPS in Rs,-0.11,0.38,-0.08,-0.05,-0.13,0.05,0.08,0.08,-0.13,0.10,0.06,0.05,0.00
Raw PDF,,,,,,,,,,,,,
