Metric,Sep 2022,Dec 2022,Mar 2023,Mar 2024,Mar 2025,Dec 2025,Mar 2026
Sales,14.32,35.65,78.16,143.76,19.86,103.89,63.66
  └─ YOY Sales Growth %,,,,84%,-86%,,221%
Expenses,13.43,29.41,58.78,119.27,14.25,94.01,44.51
  └─ Material Cost %,83%,79%,67%,73%,51%,84%,59%
  └─ Employee Cost %,3%,1%,3%,2%,5%,1%,3%
Operating Profit,0.89,6.24,19.38,24.49,5.61,9.88,19.15
OPM %,6.22%,17.50%,24.80%,17.04%,28.25%,9.51%,30.08%
Other Income,-0.00,-0.00,0.01,0.90,0.36,-0.00,-0.00
  └─ Other income normal,0.00,0.00,0.01,0.90,0.36,0.00,0.00
Interest,0.51,0.38,1.81,3.63,1.51,2.57,2.35
Depreciation,0.22,0.22,1.00,6.45,4.00,3.20,3.22
Profit before tax,0.16,5.64,16.58,15.31,0.46,4.11,13.58
Tax %,-93.75%,24.47%,22.62%,25.54%,-230.43%,23.11%,30.93%
Net Profit,0.32,4.25,12.82,11.40,1.51,3.16,9.38
  └─ Minority share,0,0,0,0,-0,-0,-0
  └─ Profit excl Excep,0,4,13,11,2,3,9
  └─ Profit for PE,0,4,13,11,1,3,9
  └─ Profit for EPS,0,4,13,11,1,3,9
  └─ YOY Profit Growth %,,,,-11%,-87%,,543%
EPS in Rs,0.37,4.87,14.68,11.09,1.41,3.04,9.08
Raw PDF,,,,,,,
