Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,19.25,14.22,5.91,6.73,39.39,11.26,14.33,6.88,6.49,5.45,5.21,6.69,10.35
  └─ YOY Sales Growth %,-46%,-23%,-68%,,105%,-21%,142%,2%,-84%,-52%,-64%,-3%,59%
Expenses,17.38,13.00,5.69,6.29,34.26,10.38,10.48,4.71,9.66,4.93,4.09,4.25,7.94
  └─ Material Cost %,85%,86%,53%,78%,83%,79%,63%,51%,133%,53%,69%,49%,61%
  └─ Employee Cost %,2%,2%,-0%,12%,-0%,2%,3%,7%,5%,5%,6%,5%,3%
Operating Profit,1.87,1.22,0.22,0.44,5.13,0.88,3.85,2.17,-3.17,0.52,1.12,2.44,2.41
OPM %,9.71%,8.58%,3.72%,6.54%,13.02%,7.82%,26.87%,31.54%,-48.84%,9.54%,21.50%,36.47%,23.29%
Other Income,0.00,0.00,0.11,0.22,1.43,1.30,0.94,0.54,3.66,1.14,2.53,3.17,2.77
  └─ Other income normal,0.00,0.00,0.11,0.22,1.43,1.30,0.94,0.54,3.66,1.14,2.53,3.17,2.77
Interest,0.18,0.42,-0.02,0.22,0.91,0.21,0.57,0.40,0.37,0.39,0.38,0.34,0.32
Depreciation,0.14,0.08,0.08,0.08,0.50,0.14,0.35,0.26,-0.11,0.15,0.15,0.15,0.40
Profit before tax,1.55,0.72,0.27,0.36,5.15,1.83,3.87,2.05,0.23,1.12,3.12,5.12,4.46
Tax %,14.84%,11.11%,7.41%,5.56%,30.49%,16.39%,9.82%,12.68%,-139.13%,0.00%,5.13%,12.50%,50.22%
Net Profit,1.25,0.71,0.35,0.38,3.57,1.52,3.48,1.79,0.54,1.13,2.96,4.49,2.22
  └─ Profit from Associates,-0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,1,0,0,4,2,3,2,1,1,3,4,2
  └─ Profit for PE,1,1,0,0,4,2,3,2,1,1,3,4,2
  └─ Profit for EPS,1,1,0,0,4,2,3,2,1,1,3,4,2
  └─ YOY Profit Growth %,-4%,65%,-69%,,186%,114%,894%,371%,-85%,-26%,-15%,151%,311%
EPS in Rs,0.50,0.28,0.14,0.15,1.43,0.61,1.39,0.72,0.22,0.45,1.18,1.80,0.89
Raw PDF,,,,,,,,,,,,,
