Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,970,1181,1083,944,1019,1033,1010,1056,1024,1018,1160,1158
  └─ YOY Sales Growth %,,,,,5.07%,-12.54%,-6.69%,11.79%,0.48%,-1.51%,14.76%,9.69%
Expenses,1095,1029,989,941,891,912,889,962,895,923,1013,1006
  └─ Material Cost %,61%,59%,63%,60%,58%,58%,60%,61%,57%,58%,59%,57%
  └─ Employee Cost %,16%,14%,15%,17%,17%,17%,17%,17%,17%,19%,16%,17%
Operating Profit,-125,152,93,3,128,121,121,94,129,94,147,152
OPM %,-13%,13%,9%,0%,13%,12%,12%,9%,13%,9%,13%,13%
Other Income,8,-21,10,10,7,17,19,26,27,32,16,34
  └─ Exceptional items,0.25,-27.41,0.92,0.22,0.00,3.70,4.78,8.22,0.00,0.00,-18.23,-1.80
  └─ Other income normal,8.09,6.77,8.91,10.24,6.55,13.47,14.56,17.54,26.73,32.37,34.33,35.30
Interest,12,14,12,12,13,12,5,5,23,23,24,24
Depreciation,30,30,32,34,34,35,45,40,37,38,40,40
Profit before tax,-159,87,59,-33,87,92,91,75,96,66,100,121
Tax %,18%,62%,-229%,20%,30%,27%,27%,-99%,32%,35%,32%,33%
Net Profit,-187,33,195,-39,61,67,66,150,65,43,68,81
  └─ Minority share,-1,-1,-1,-2,-1,-1,-1,-2,-1,-2,-1,3
  └─ Exceptional items AT,0,-10,1,0,0,3,3,6,0,0,-12,-1
  └─ Profit excl Excep,-188,43,194,-40,61,64,63,144,65,43,80,83
  └─ Profit for PE,-188,42,193,-41,60,63,62,142,63,41,78,86
  └─ Profit for EPS,-188,32,194,-41,60,65,65,148,63,41,66,85
  └─ YOY Profit Growth %,,,,,132%,50%,-68%,442%,6%,-35%,27%,-39%
EPS in Rs,-13.16,2.22,13.54,-2.89,4.08,4.14,4.14,9.38,4.03,2.59,4.21,5.38
Raw PDF,,,,,,,,,,,,
