Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,220.30,244.27,214.49,249.59,221.83,257.84,239.34
  └─ YOY Sales Growth %,,,,,0.69%,5.56%,11.59%
Expenses,208.47,233.01,205.38,237.78,208.48,241.09,223.37
  └─ Employee Cost %,7.65%,7.74%,9.42%,8.57%,10.45%,10.45%,11.06%
Operating Profit,11.83,11.26,9.11,11.81,13.35,16.75,15.97
OPM %,5.37%,4.61%,4.25%,4.73%,6.02%,6.50%,6.67%
Other Income,0.91,0.66,2.98,1.03,2.37,0.71,1.24
  └─ Other income normal,0.91,0.66,2.98,1.03,2.37,0.71,1.24
Interest,0.54,0.48,0.55,0.65,0.47,0.54,0.54
Depreciation,3.24,3.85,4.36,4.31,3.50,4.34,5.15
Profit before tax,8.96,7.59,7.18,7.88,11.75,12.58,11.52
Tax %,26.67%,21.21%,25.49%,26.78%,25.19%,24.32%,27.43%
Net Profit,6.56,5.98,5.35,5.77,8.79,9.52,8.36
  └─ Minority share,-0,-1,-1,-1,-1,-1,-1
  └─ Profit excl Excep,7,6,5,6,9,10,8
  └─ Profit for PE,6,5,5,5,8,8,8
  └─ Profit for EPS,6,5,5,5,8,8,8
  └─ YOY Profit Growth %,,,,,28%,59%,66%
EPS in Rs,2.45,2.10,1.83,2.08,3.14,3.34,3.03
Raw PDF,,,,,,,
