Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,313,293,358,320,295,300,330,291,330,332,299,330,368
  └─ YOY Sales Growth %,16.89%,-0.84%,9.08%,-2.04%,-5.65%,2.50%,-7.79%,-9.04%,11.60%,10.58%,-9.59%,13.11%,11.65%
Expenses,294,273,327,295,280,280,309,274,300,304,282,296,336
  └─ Material Cost %,46.75%,45.91%,45.58%,41.85%,43.18%,45.10%,45.52%,45.15%,40.15%,44.13%,45.77%,43.03%,42.32%
  └─ Employee Cost %,5.44%,5.91%,5.57%,6.05%,5.96%,6.31%,6.19%,6.71%,6.52%,6.55%,7.07%,6.69%,6.74%
Operating Profit,19,19,32,26,16,20,21,17,30,28,17,33,32
OPM %,6%,7%,9%,8%,5%,7%,6%,6%,9%,9%,6%,10%,9%
Other Income,2,4,4,20,4,4,6,6,5,4,4,3,3
  └─ Exceptional items,0.00,0.00,0.00,17.29,0.51,2.05,1.71,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,2.00,3.62,4.29,2.62,3.74,2.23,4.61,5.66,4.61,4.14,4.27,2.57,2.99
Interest,8,8,8,8,8,8,9,9,9,9,8,8,7
Depreciation,6,6,6,6,6,6,6,6,7,6,7,7,7
Profit before tax,6,9,22,31,6,10,13,8,18,17,6,21,21
Tax %,25%,22%,25%,18%,14%,22%,24%,25%,26%,25%,25%,26%,26%
Net Profit,4,7,17,26,5,8,10,6,14,12,5,16,15
  └─ Exceptional items AT,0.00,0.00,0.00,14.16,0.44,1.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,4.48,7.18,16.64,11.37,4.63,6.36,8.52,5.98,13.54,12.50,4.76,15.90,15.27
  └─ Profit for PE,4.48,7.18,16.64,11.37,4.63,6.36,8.52,5.98,13.54,12.50,4.76,15.90,15.27
  └─ Profit for EPS,4.48,7.18,16.64,25.53,5.07,7.96,9.82,5.98,13.54,12.50,4.76,15.90,15.27
  └─ YOY Profit Growth %,-33.73%,-7.59%,36.95%,112.92%,3.35%,-11.42%,-48.80%,-47.41%,192.44%,96.54%,-44.13%,165.89%,12.78%
EPS in Rs,0.51,0.83,1.91,2.93,0.58,0.91,1.13,0.69,1.56,1.44,0.55,1.83,1.76
Raw PDF,,,,,,,,,,,,,
