Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,14.09,41.06,42.13,42.69,33.94
  └─ YOY Sales Growth %,,,,,,,,141%
Expenses,0.04,0.03,0.02,13.28,38.56,38.28,38.76,30.84
  └─ Material Cost %,,,,78%,77%,76%,76%,72%
  └─ Employee Cost %,,,,6%,5%,4%,5%,6%
Operating Profit,-0.04,-0.03,-0.02,0.81,2.50,3.85,3.93,3.10
OPM %,,,,5.75%,6.09%,9.14%,9.21%,9.13%
Other Income,0.00,0.00,0.00,0.97,0.51,1.13,0.06,0.53
  └─ Other income normal,-0.00,-0.00,-0.00,0.97,0.51,1.13,0.06,0.53
Interest,0.00,0.00,0.00,0.06,0.11,0.17,0.15,0.13
Depreciation,0.00,0.00,0.00,0.55,0.49,0.52,0.52,0.52
Profit before tax,-0.04,-0.03,-0.02,1.17,2.41,4.29,3.32,2.98
Tax %,0.00%,0.00%,0.00%,-1.71%,6.64%,5.13%,8.43%,2.01%
Net Profit,-0.04,-0.03,-0.02,1.19,2.25,4.07,3.06,2.93
  └─ Profit excl Excep,-0,-0,-0,1,2,4,3,3
  └─ Profit for PE,-0,-0,-0,1,2,4,3,3
  └─ Profit for EPS,-0,-0,-0,1,2,4,3,3
  └─ YOY Profit Growth %,,,,,5725%,13667%,15400%,146%
EPS in Rs,-0.04,-0.03,-0.02,0.08,0.14,0.26,0.19,0.19
Raw PDF,,,,,,,,
