Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,197,388,415,907,304,115,713,596
  └─ YOY Sales Growth %,,,,,53.95%,-70.41%,71.82%,-34.34%
Expenses,184,371,291,753,262,119,579,477
  └─ Material Cost %,72%,84%,50%,66%,72%,80%,69%,52%
  └─ Employee Cost %,4%,2%,2%,1%,4%,9%,2%,2%
Operating Profit,14,17,125,154,42,-5,134,119
OPM %,7%,4%,30%,17%,14%,-4%,19%,20%
Other Income,15,17,15,14,23,15,18,31
  └─ Other income normal,15.08,16.61,15.43,13.69,22.74,14.76,17.62,31.39
Interest,35,34,36,39,38,39,40,44
Depreciation,16,16,18,18,21,21,22,23
Profit before tax,-22,-16,86,111,6,-49,90,84
Tax %,-0%,15%,13%,-1%,18%,-23%,23%,27%
Net Profit,-22,-19,75,112,5,-38,69,61
  └─ Minority share,0,0,0,0,0,0,0,-1
  └─ Profit excl Excep,-22,-19,75,112,5,-38,69,61
  └─ Profit for PE,-22,-19,75,112,5,-38,69,60
  └─ Profit for EPS,-22,-19,75,112,5,-38,69,60
  └─ YOY Profit Growth %,,,,,122%,-103%,-8%,-46%
EPS in Rs,-3.05,-2.64,10.65,15.81,0.67,-4.42,8.08,6.98
Raw PDF,,,,,,,,
