Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,620,615,596,597,650,636,626
  └─ YOY Sales Growth %,,,,,4.92%,3.38%,4.97%
Expenses,506,530,501,485,544,533,529
  └─ Material Cost %,54%,56%,56%,54%,56%,57%,55%
  └─ Employee Cost %,10%,9%,11%,11%,10%,9%,10%
Operating Profit,113,86,95,112,106,103,97
OPM %,18%,14%,16%,19%,16%,16%,16%
Other Income,15,20,-20,8,10,-8,14
  └─ Exceptional items,0.00,0.00,-33.64,0.00,0.00,-15.84,-0.82
  └─ Other income normal,14.94,20.11,13.78,8.38,10.45,7.73,14.95
Interest,2,2,1,2,2,2,2
Depreciation,15,17,15,12,13,17,12
Profit before tax,111,88,59,106,102,76,98
Tax %,26%,25%,40%,26%,25%,26%,25%
Net Profit,83,66,35,79,77,57,73
  └─ Exceptional items AT,0,0,-20,0,0,-12,-1
  └─ Profit excl Excep,83,66,55,79,77,68,74
  └─ Profit for PE,83,66,55,79,77,68,74
  └─ Profit for EPS,83,66,35,79,77,57,73
  └─ YOY Profit Growth %,,,,,-7%,4%,34%
EPS in Rs,61.74,49.17,25.72,5.76,5.60,4.13,5.36
Raw PDF,,,,,,,
