Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4,6,11,9,4,7,15,8,3,10,21,11,4
  └─ YOY Sales Growth %,-29.00%,-22.62%,-33.91%,-4.77%,10.99%,15.90%,36.81%,-12.09%,-28.43%,51.77%,36.91%,38.04%,47.87%
Expenses,4,3,3,3,5,3,4,4,6,4,5,5,4
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.11%
  └─ Employee Cost %,27.04%,14.87%,8.25%,14.16%,29.19%,14.45%,6.49%,12.27%,68.09%,10.79%,6.29%,15.44%,21.34%
Operating Profit,-1,3,8,6,-1,4,11,4,-3,6,15,6,-0
OPM %,-21%,53%,70%,69%,-25%,59%,73%,52%,-110%,60%,74%,55%,-4%
Other Income,1,0,0,0,1,0,0,-76,1,0,0,0,-5
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.15,0.00,0.00,0.00,0.00,-5.66
  └─ Other income normal,1.21,0.33,0.27,0.32,0.81,0.35,0.33,0.38,0.73,0.27,0.32,0.45,0.42
Interest,1,3,3,3,2,2,2,2,2,2,2,3,3
Depreciation,3,3,3,3,3,3,3,3,3,3,2,2,2
Profit before tax,-4,-2,3,1,-5,-1,6,-77,-7,2,11,2,-11
Tax %,48%,-11%,-7%,-13%,11%,-28%,-3%,-0%,271%,-8%,5%,24%,30%
Net Profit,-5,-2,3,2,-5,-0,7,-76,-27,2,11,1,-14
  └─ Minority share,-1,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,-76,0,0,0,0,-4
  └─ Profit excl Excep,-5,-2,3,2,-5,-0,7,-0,-27,2,11,1,-10
  └─ Profit for PE,-6,-2,3,2,-5,-0,7,-0,-27,2,11,1,-10
  └─ Profit for EPS,-6,-2,3,2,-5,-0,7,-76,-27,2,11,1,-14
  └─ YOY Profit Growth %,-143%,-279%,-64%,2%,20%,71%,123%,-115%,-425%,459%,61%,642%,64%
EPS in Rs,-1.35,-0.34,0.62,0.35,-1.08,-0.10,1.38,-16.08,-5.68,0.35,2.23,0.27,-2.90
Raw PDF,,,,,,,,,,,,,
