Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,15.52,6.36,16.76,8.13,10.72
Expenses,8.93,7.13,17.37,9.36,8.59
  └─ Material Cost %,19.01%,23.27%,62.77%,48.59%,22.20%
  └─ Employee Cost %,27.00%,72.17%,28.88%,53.63%,43.47%
Operating Profit,6.59,-0.77,-0.61,-1.23,2.13
OPM %,42.46%,-12.11%,-3.64%,-15.13%,19.87%
Other Income,0.77,0.75,1.01,0.59,0.51
  └─ Other income normal,0.77,0.75,1.01,0.59,0.51
Interest,0.35,0.23,0.07,0.03,0.04
Depreciation,0.55,0.95,1.11,1.12,1.54
Profit before tax,6.46,-1.20,-0.78,-1.79,1.06
Tax %,20.59%,9.17%,-30.77%,17.88%,23.58%
Net Profit,5.13,-1.30,-0.55,-2.11,0.82
  └─ Profit excl Excep,5.13,-1.30,-0.55,-2.11,0.82
  └─ Profit for PE,5.13,-1.30,-0.55,-2.11,0.82
  └─ Profit for EPS,5.13,-1.30,-0.55,-2.11,0.82
EPS in Rs,3.59,-0.91,-0.38,-1.48,0.57
Raw PDF,,,,,
