Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,6.81,5.28,4.76,5.38,4.31,2.82,3.45,6.18,3.55,1.03,0.33,0.30,1.51
Expenses,4.61,3.50,2.58,3.89,2.33,3.37,5.30,4.12,4.30,1.42,2.01,0.67,0.13
  └─ Material Cost %,5.29%,10.04%,6.09%,10.41%,3.48%,14.54%,15.36%,12.62%,-1.69%,-126.21%,727.27%,-383.33%,17.22%
  └─ Employee Cost %,37.44%,28.03%,28.36%,34.39%,28.77%,40.07%,81.45%,27.35%,59.15%,127.18%,-154.55%,326.67%,-24.50%
Operating Profit,2.20,1.78,2.18,1.49,1.98,-0.55,-1.85,2.06,-0.75,-0.39,-1.68,-0.37,1.38
OPM %,32.31%,33.71%,45.80%,27.70%,45.94%,-19.50%,-53.62%,33.33%,-21.13%,-37.86%,-509.09%,-123.33%,91.39%
Other Income,0.11,0.00,0.03,0.02,0.40,0.01,0.68,0.03,0.08,0.04,0.04,0.00,0.16
  └─ Other income normal,0.11,0.00,0.03,0.02,0.40,0.01,0.68,0.03,0.08,0.04,0.04,0.00,0.16
Interest,0.98,1.01,1.13,1.14,1.20,2.48,3.40,2.85,2.90,2.14,-0.06,0.88,-0.11
Depreciation,0.78,0.61,0.65,0.66,0.66,1.31,1.36,1.54,2.95,1.69,-0.17,0.61,-0.23
Profit before tax,0.55,0.16,0.43,-0.29,0.52,-4.33,-5.93,-2.30,-6.52,-4.18,-1.41,-1.86,1.88
Tax %,16.36%,68.75%,9.30%,-106.90%,13.46%,2.08%,1.52%,-0.87%,-3.07%,-1.20%,-2.13%,-2.69%,-2.66%
Net Profit,0.46,0.06,0.39,0.02,0.07,-2.56,-3.92,-0.54,-1.78,-2.07,-1.37,-1.82,1.93
  └─ Profit excl Excep,0.46,0.06,0.39,0.02,0.07,-2.56,-3.92,-0.54,-1.78,-2.07,-1.37,-1.82,1.93
  └─ Profit for PE,0.46,0.06,0.39,0.02,0.07,-2.56,-3.92,-0.54,-1.78,-2.07,-1.37,-1.82,1.93
  └─ Profit for EPS,0.46,0.06,0.39,0.02,0.07,-2.56,-3.92,-0.54,-1.78,-2.07,-1.37,-1.82,1.93
EPS in Rs,0.73,0.10,0.62,0.03,0.11,-4.06,-6.21,-0.86,-2.82,-3.28,-2.17,-2.56,2.71
Raw PDF,,,,,,,,,,,,,
