Metric,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
Sales,4.69,4.59,4.38,16.17,14.20,4.98,6.74,12.44,10.98,7.79,6.77,10.79
  └─ YOY Sales Growth %,,,,,202.77%,8.50%,53.88%,-23.07%,-22.68%,56.43%,0.45%,-13.26%
Expenses,3.06,3.37,4.29,12.79,12.84,3.84,6.83,8.03,8.91,6.58,5.91,8.70
  └─ Material Cost %,0.00%,0.00%,30.37%,0.00%,0.00%,28.51%,59.94%,20.02%,47.54%,27.73%,9.90%,15.57%
  └─ Employee Cost %,36.89%,32.90%,33.56%,8.29%,8.38%,23.09%,17.36%,8.76%,12.02%,19.51%,23.04%,15.76%
Operating Profit,1.63,1.22,0.09,3.38,1.36,1.14,-0.09,4.41,2.07,1.21,0.86,2.09
OPM %,34.75%,26.58%,2.05%,20.90%,9.58%,22.89%,-1.34%,35.45%,18.85%,15.53%,12.70%,19.37%
Other Income,0.05,0.04,0.18,0.13,0.12,0.15,0.05,0.10,0.35,0.45,0.46,0.37
  └─ Other income normal,0.05,0.04,0.18,0.13,0.12,0.15,0.05,0.10,0.35,0.45,0.46,0.37
Interest,0.79,0.77,0.69,0.72,0.77,0.90,0.85,0.92,1.07,1.05,1.49,0.74
Depreciation,0.30,0.27,0.35,0.24,0.30,0.31,0.27,0.26,0.22,0.24,0.25,0.26
Profit before tax,0.59,0.22,-0.77,2.55,0.41,0.08,-1.16,3.33,1.13,0.37,-0.42,1.46
Tax %,42.37%,13.64%,10.39%,15.29%,31.71%,37.50%,-9.48%,23.72%,57.52%,-37.84%,19.05%,50.68%
Net Profit,0.34,0.19,-0.86,2.16,0.28,0.12,0.49,0.68,0.46,0.48,-0.58,0.61
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.06,1.54,-1.87,-0.02,-0.02,-0.07,-0.10
  └─ Minority share,-0.08,0.12,0.42,-0.46,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.34,0.19,-0.86,2.16,0.28,0.12,0.49,0.68,0.46,0.48,-0.58,0.61
  └─ Profit for PE,0.26,0.31,-0.44,1.70,0.28,0.12,0.49,0.67,0.46,0.48,-0.58,0.61
  └─ Profit for EPS,0.26,0.31,-0.44,1.70,0.28,0.12,0.49,0.67,0.46,0.48,-0.58,0.61
  └─ YOY Profit Growth %,,,,,7.69%,-61.29%,211.36%,-60.59%,64.29%,300.00%,-218.37%,-8.96%
EPS in Rs,0.52,0.62,-0.80,3.08,0.51,0.22,0.89,1.21,0.83,0.87,-1.05,1.10
Raw PDF,,,,,,,,,,,,
