Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,75,144,152,195
Expenses,65,129,136,173
  └─ Material Cost %,72%,78%,79%,81%
  └─ Employee Cost %,8%,4%,4%,3%
Operating Profit,10,15,16,21
OPM %,13%,10%,11%,11%
Other Income,1,0,1,4
  └─ Other income normal,1.01,0.19,0.90,3.92
Interest,0,1,3,5
Depreciation,3,3,3,3
Profit before tax,7,12,11,17
Tax %,36%,29%,20%,29%
Net Profit,5,8,9,12
  └─ Profit excl Excep,4.64,8.29,8.57,11.98
  └─ Profit for PE,4.64,8.29,8.57,11.98
  └─ Profit for EPS,4.64,8.29,8.57,11.98
EPS in Rs,6.06,7.86,8.12,11.35
Raw PDF,,,,
