Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2624,2069,2596,2436,3136,2548,3140,2981,3670,3114
  └─ YOY Sales Growth %,,,,,19.53%,23.15%,20.95%,22.38%,17.04%,22.22%
Expenses,2197,1818,2231,2134,2631,2191,2681,2587,3065,2689
  └─ Material Cost %,71%,74%,72%,72%,71%,72%,72%,72%,71%,72%
  └─ Employee Cost %,5%,6%,6%,6%,5%,7%,5%,6%,5%,6%
Operating Profit,427,251,366,302,505,357,459,395,605,425
OPM %,16%,12%,14%,12%,16%,14%,15%,13%,16%,14%
Other Income,10,7,8,13,19,19,17,20,25,25
  └─ Other income normal,10.20,7.01,7.69,13.21,19.03,18.63,17.00,20.18,24.59,24.52
Interest,33,36,34,34,31,49,41,41,43,46
Depreciation,132,136,138,141,141,171,159,169,168,178
Profit before tax,272,85,201,141,352,156,276,204,419,225
Tax %,25%,28%,25%,26%,25%,26%,25%,25%,25%,25%
Net Profit,205,61,150,104,263,115,206,152,313,168
  └─ Profit excl Excep,205,61,150,104,263,115,206,152,313,168
  └─ Profit for PE,205,61,150,104,263,115,206,152,313,168
  └─ Profit for EPS,205,61,150,104,263,115,206,152,313,168
  └─ YOY Profit Growth %,,,,,28%,88%,37%,46%,19%,46%
EPS in Rs,0.46,0.14,0.33,0.23,0.58,0.25,0.44,0.33,0.67,0.36
Raw PDF,,,,,,,,,,
