Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Revenue,5.21,2.02,4.61,4.35,3.84,7.45,-1.65,10.07,35.04,15.92,22.64,9.57,15.27
  └─ YOY Sales Growth %,3%,-50%,-12%,-19%,-26%,269%,-136%,131%,812%,114%,1472%,-5%,-56%
Interest,0.16,0.23,0.21,0.19,0.17,0.20,0.21,0.28,0.28,0.28,0.28,0.19,0.10
Expenses,3.32,2.88,12.96,0.49,0.48,-1.32,2.70,1.94,31.47,49.11,-2.85,7.53,11.59
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,,0%,83%,147%,42%,75%,66%
  └─ Employee Cost %,7%,14%,7%,3%,5%,3%,,2%,1%,2%,1%,3%,2%
Financing Profit,1.73,-1.09,-8.56,3.67,3.19,8.57,-4.56,7.85,3.29,-33.47,25.21,1.85,3.58
Financing Margin %,33.21%,-53.96%,-185.68%,84.37%,83.07%,115.03%,276.36%,77.95%,9.39%,-210.24%,111.35%,19.33%,23.44%
Other Income,0.39,0.00,0.41,1.25,1.10,0.35,0.27,3.77,1.86,0.56,0.33,-1.87,2.57
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,-2.19,2.20
  └─ Other income normal,0.39,0.00,0.41,1.25,1.10,0.35,0.27,3.77,0.30,0.56,0.33,0.32,0.37
Depreciation,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05
Profit before tax,2.09,-1.12,-8.19,4.89,4.26,8.89,-4.32,11.58,5.11,-32.95,25.49,-0.07,6.10
Tax %,68.90%,-16.96%,-10.87%,21.68%,22.30%,26.55%,-30.79%,17.79%,21.33%,-26.37%,25.85%,685.71%,14.10%
Net Profit,0.64,-0.94,-7.30,3.83,3.31,6.54,-2.98,9.53,4.02,-24.26,18.90,-0.55,5.25
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,-2.19,2.20
  └─ Profit excl Excep,0.64,-0.94,-7.30,3.83,3.31,6.54,-2.98,9.53,2.46,-24.26,18.90,1.64,3.05
  └─ Profit for PE,0.64,-0.94,-7.30,3.83,3.31,6.54,-2.98,9.53,2.46,-24.26,18.90,1.64,3.05
  └─ Profit for EPS,0.64,-0.94,-7.30,3.83,3.31,6.54,-2.98,9.53,4.02,-24.26,18.90,-0.55,5.25
  └─ YOY Profit Growth %,-84.31%,-452.94%,-40.93%,86.83%,417.19%,795.74%,59.18%,148.83%,-25.68%,-470.95%,734.23%,-82.79%,23.98%
EPS in Rs,0.03,-0.05,-0.38,0.20,0.17,0.34,-0.16,0.50,0.21,-1.28,0.99,-0.03,0.28
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
