Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,13.58,17.62,23.32,20.09,34.10,24.19,33.28,33.17,36.83,42.69
  └─ YOY Sales Growth %,,,,,151%,37%,43%,65%,8%,76%
Expenses,15.02,14.68,16.89,16.48,33.01,23.36,22.06,24.63,24.55,32.83
  └─ Employee Cost %,70.40%,51.14%,40.69%,51.47%,34.40%,58.29%,40.26%,46.34%,42.38%,47.88%
Operating Profit,-1.44,2.94,6.43,3.61,1.09,0.83,11.22,8.54,12.28,9.86
OPM %,-10.60%,16.69%,27.57%,17.97%,3.20%,3.43%,33.71%,25.75%,33.34%,23.10%
Other Income,4.30,-0.75,4.21,1.72,3.49,1.25,0.56,2.69,4.31,3.23
  └─ Other income normal,4.30,-0.75,4.21,1.72,3.49,1.25,0.56,2.69,4.31,3.23
Interest,2.32,1.35,1.16,1.17,1.85,1.55,1.32,1.40,1.10,1.93
Depreciation,0.02,0.21,0.04,0.07,0.08,0.28,0.03,0.04,0.04,0.33
Profit before tax,0.52,0.63,9.44,4.09,2.65,0.25,10.43,9.79,15.45,10.83
Tax %,0.00%,184.13%,0.00%,10.76%,64.91%,864.00%,25.41%,21.55%,18.38%,41.74%
Net Profit,0.52,-0.52,9.44,3.66,0.94,-1.92,7.78,7.68,12.61,6.30
  └─ Profit excl Excep,1,-1,9,4,1,-2,8,8,13,6
  └─ Profit for PE,1,-1,9,4,1,-2,8,8,13,6
  └─ Profit for EPS,1,-1,9,4,1,-2,8,8,13,6
  └─ YOY Profit Growth %,,,,,81%,-269%,-18%,110%,1241%,428%
EPS in Rs,,,,,0.43,-0.87,3.52,3.47,5.69,2.84
Raw PDF,,,,,,,,,,
