Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.04,0.04,6.61,26.59,17.00,44.49,51.33,13.30
  └─ YOY Sales Growth %,,,,,42400.00%,111125.00%,676.55%,-49.98%
Expenses,0.08,0.14,4.46,26.03,16.18,44.46,48.55,18.87
  └─ Material Cost %,25%,25%,63%,75%,94%,92%,94%,53%
  └─ Employee Cost %,75%,125%,2%,1%,1%,0%,0%,2%
Operating Profit,-0.04,-0.10,2.15,0.56,0.82,0.03,2.78,-5.57
OPM %,-100.00%,-250.00%,32.53%,2.11%,4.82%,0.07%,5.42%,-41.88%
Other Income,0.00,0.01,1.26,-0.86,0.41,-0.36,0.06,6.94
  └─ Other income normal,0.00,0.01,1.26,-0.86,0.41,-0.36,0.06,6.94
Interest,0.00,0.00,0.00,0.12,0.04,0.04,0.22,0.46
Depreciation,0.00,0.00,0.01,0.02,0.02,0.03,0.04,0.05
Profit before tax,-0.04,-0.09,3.40,-0.44,1.17,-0.40,2.58,0.86
Tax %,-25.00%,-22.22%,5.29%,4.55%,4.27%,47.50%,26.74%,19.77%
Net Profit,-0.04,-0.06,3.22,-0.46,1.12,-0.59,1.90,0.70
  └─ Minority share,0,0,-1,0,-1,1,-0,-1
  └─ Profit excl Excep,-0,-0,3,-0,1,-1,2,1
  └─ Profit for PE,-0,-0,2,-0,1,-0,1,-0
  └─ Profit for EPS,-0,-0,2,-0,1,-0,1,-0
  └─ YOY Profit Growth %,,,,,2700%,-67%,-26%,62%
EPS in Rs,-0.04,-0.07,3.73,-0.56,0.88,-0.08,2.40,-0.14
Raw PDF,,,,,,,,
