Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,4.18,3.96,3.01,3.54,5.17,3.07,6.03,4.43,3.17
  └─ YOY Sales Growth %,,,,,23.68%,-22.47%,100.33%,25.14%,-38.68%
Expenses,2.01,1.64,1.20,1.08,1.41,1.23,1.96,2.10,1.76
  └─ Material Cost %,25.12%,9.34%,0.00%,0.00%,0.00%,0.00%,0.00%,5.42%,0.00%
  └─ Employee Cost %,17.94%,19.95%,24.92%,21.19%,14.70%,28.34%,15.75%,30.25%,40.06%
Operating Profit,2.17,2.32,1.81,2.46,3.76,1.84,4.07,2.33,1.41
OPM %,51.91%,58.59%,60.13%,69.49%,72.73%,59.93%,67.50%,52.60%,44.48%
Other Income,0.36,0.36,0.45,0.91,0.47,1.05,0.73,1.31,0.40
  └─ Other income normal,0.36,0.36,0.45,0.91,0.47,1.05,0.73,1.31,0.40
Interest,-0.00,0.02,0.01,0.01,0.06,0.01,0.11,0.01,-0.00
Depreciation,0.01,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.06
Profit before tax,2.52,2.61,2.21,3.32,4.13,2.84,4.64,3.57,1.75
Tax %,23.02%,29.50%,24.43%,21.99%,22.76%,27.46%,30.17%,26.61%,17.14%
Net Profit,1.94,1.84,1.68,2.59,3.19,2.07,3.24,2.62,1.45
  └─ Minority share,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,2,2,2,3,3,2,3,3,1
  └─ Profit for PE,2,2,2,3,3,2,3,3,1
  └─ Profit for EPS,2,2,2,3,3,2,3,3,1
  └─ YOY Profit Growth %,,,,,65%,16%,96%,4%,-54%
EPS in Rs,0.32,0.30,0.28,0.42,0.53,0.35,0.54,0.44,0.24
Raw PDF,,,,,,,,,
