Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1821,1778,1978,1942,2075,2071,2108,2275,2228,2464,2766,2809,2907
  └─ YOY Sales Growth %,19.33%,10.36%,14.67%,9.18%,13.91%,16.45%,6.57%,17.15%,7.40%,19.00%,31.22%,23.49%,30.44%
Expenses,1625,1564,1737,1703,1830,1830,1879,2025,1970,2199,2456,2495,2639
  └─ Material Cost %,67%,67%,70%,68%,68%,67%,67%,67%,64%,66%,66%,66%,70%
  └─ Employee Cost %,5%,6%,5%,6%,5%,6%,6%,6%,6%,6%,6%,6%,5%
Operating Profit,196,214,240,239,245,241,229,250,258,265,309,314,267
OPM %,11%,12%,12%,12%,12%,12%,11%,11%,12%,11%,11%,11%,9%
Other Income,34,25,26,20,28,28,35,17,36,43,8,4,31
  └─ Other income normal,33.55,25.07,25.68,19.63,28.13,28.05,35.10,17.45,36.49,43.23,7.58,3.86,30.94
Interest,26,22,19,18,23,19,20,24,26,28,28,35,40
Depreciation,35,36,36,36,45,42,45,46,53,52,60,63,70
Profit before tax,169,181,211,204,204,208,200,198,216,228,229,220,189
Tax %,22%,24%,26%,25%,27%,25%,25%,27%,26%,26%,28%,29%,28%
Net Profit,132,137,157,153,150,155,151,145,161,168,164,157,136
  └─ Minority share,-4,0,-1,-1,-1,-2,-2,-2,0,0,0,0,0
  └─ Profit excl Excep,132,137,157,153,150,155,151,145,161,168,164,157,136
  └─ Profit for PE,128,137,156,151,149,153,148,143,161,168,164,157,136
  └─ Profit for EPS,128,137,156,151,149,153,148,143,161,168,164,157,136
  └─ YOY Profit Growth %,79%,53%,74%,59%,16%,11%,-5%,-5%,8%,10%,10%,10%,-15%
EPS in Rs,3.69,3.96,4.49,4.35,4.28,4.41,4.27,4.13,4.62,4.85,4.72,4.53,3.91
Raw PDF,,,,,,,,,,,,,
