Metric,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Dec 2025,Mar 2026
Sales,55.93,58.11,57.42,44.03,32.07,41.93,58.79,45.60,20.70,20.20,30.11,36.29,37.79
  └─ YOY Sales Growth %,377.63%,301.87%,109.56%,19.06%,-42.66%,-27.84%,2.39%,3.57%,-35.45%,-51.82%,-48.78%,,
Expenses,46.09,44.61,46.72,37.29,33.45,49.23,59.00,44.82,27.02,18.37,31.71,32.53,36.69
  └─ Material Cost %,60%,57%,51%,60%,72%,55%,70%,69%,74%,63%,63%,60%,64%
  └─ Employee Cost %,6%,5%,8%,7%,9%,8%,7%,7%,12%,12%,12%,9%,11%
Operating Profit,9.84,13.50,10.70,6.74,-1.38,-7.30,-0.21,0.78,-6.32,1.83,-1.60,3.76,1.10
OPM %,17.59%,23.23%,18.63%,15.31%,-4.30%,-17.41%,-0.36%,1.71%,-30.53%,9.06%,-5.31%,10.36%,2.91%
Other Income,15.43,23.20,20.32,0.70,15.21,0.45,1.24,6.63,0.21,0.30,4.10,0.66,1.24
  └─ Other income normal,15.43,23.20,20.32,0.70,15.21,0.45,1.24,6.63,0.21,0.30,4.10,0.66,1.24
Interest,3.67,4.00,4.02,3.46,5.02,3.42,1.67,3.18,3.46,2.37,2.79,0.00,0.00
Depreciation,1.20,1.11,1.07,1.07,1.05,1.05,1.03,1.05,0.88,0.78,0.74,0.77,0.75
Profit before tax,20.40,31.59,25.93,2.91,7.76,-11.32,-1.67,3.18,-10.45,-1.02,-1.03,3.65,1.59
Tax %,-4.31%,-21.81%,0.08%,60.48%,21.52%,0.88%,189.82%,8.18%,1.34%,13.73%,10.68%,-6.03%,31.45%
Net Profit,21.28,38.49,25.92,1.14,6.09,-11.42,-4.85,2.92,-10.59,-1.16,-1.13,3.88,1.09
  └─ Profit excl Excep,21.28,38.49,25.92,1.14,6.09,-11.42,-4.85,2.92,-10.59,-1.16,-1.13,3.88,1.09
  └─ Profit for PE,21.28,38.49,25.92,1.14,6.09,-11.42,-4.85,2.92,-10.59,-1.16,-1.13,3.88,1.09
  └─ Profit for EPS,21.28,38.49,25.92,1.14,6.09,-11.42,-4.85,2.92,-10.59,-1.16,-1.13,3.88,1.09
  └─ YOY Profit Growth %,263.32%,615.26%,48.71%,-88.47%,-71.38%,-129.67%,-118.71%,156.14%,-273.89%,89.84%,76.70%,,
EPS in Rs,7.66,13.85,9.33,0.41,2.19,-4.11,-1.75,1.05,-3.81,-0.42,-0.41,1.40,0.39
Raw PDF,,,,,,,,,,,,,
