Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,136.63,151.36,135.53,165.85,168.94,185.05,214.77,227.15,277.39,279.82
  └─ YOY Sales Growth %,,,,,24%,22%,58%,37%,64%,51%
Expenses,123.15,137.86,121.05,147.54,151.31,165.15,190.55,201.27,251.84,271.39
  └─ Material Cost %,73%,75%,72%,72%,74%,74%,74%,75%,72%,75%
  └─ Employee Cost %,11%,9%,11%,9%,9%,9%,9%,8%,13%,14%
Operating Profit,13.48,13.50,14.48,18.31,17.63,19.90,24.22,25.88,25.55,8.43
OPM %,9.87%,8.92%,10.68%,11.04%,10.44%,10.75%,11.28%,11.39%,9.21%,3.01%
Other Income,-6.91,0.38,0.51,0.13,0.50,0.34,0.23,0.13,-1.07,0.36
  └─ Exceptional items,-6.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.28,-0.72
  └─ Other income normal,0.08,0.38,0.51,0.13,0.50,0.34,0.23,0.13,0.21,1.08
Interest,3.23,4.13,3.26,3.40,2.52,4.02,3.62,3.56,4.71,4.09
Depreciation,2.02,2.00,2.01,2.11,2.15,2.22,2.73,2.81,4.45,3.85
Profit before tax,1.32,7.75,9.72,12.93,13.46,14.00,18.10,19.64,15.32,0.85
Tax %,-14.39%,33.81%,28.70%,21.19%,25.63%,28.71%,29.50%,25.05%,17.10%,285.88%
Net Profit,1.52,5.12,6.93,10.19,10.01,9.99,12.77,14.72,12.70,-1.59
  └─ Exceptional items AT,-7,0,0,0,0,0,0,0,-1,1
  └─ Profit excl Excep,8,5,7,10,10,10,13,15,14,-3
  └─ Profit for PE,8,5,7,10,10,10,13,15,14,-3
  └─ Profit for EPS,2,5,7,10,10,10,13,15,13,-2
  └─ YOY Profit Growth %,,,,,23%,95%,84%,44%,37%,-129%
EPS in Rs,0.44,1.49,2.02,2.97,2.92,2.91,3.72,4.28,3.69,-0.46
Raw PDF,,,,,,,,,,
