Metric,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,21.02,11.32,22.60,24.69,19.70,32.67,21.99,27.60,21.04,19.23,-5.69,8.32
  └─ YOY Sales Growth %,,,,17%,74%,,-3%,12%,7%,-41%,-126%,-70%
Expenses,19.89,8.75,17.89,22.22,17.20,28.97,18.08,23.28,17.83,17.28,23.79,17.02
  └─ Employee Cost %,23%,48%,27%,23%,29%,17%,27%,20%,26%,27%,,64%
Operating Profit,1.13,2.57,4.71,2.47,2.50,3.70,3.91,4.32,3.21,1.95,-29.48,-8.70
OPM %,5.38%,22.70%,20.84%,10.00%,12.69%,11.33%,17.78%,15.65%,15.26%,10.14%,,-104.57%
Other Income,0.74,0.19,0.25,0.31,0.32,0.25,0.56,0.43,0.36,0.17,0.24,0.27
  └─ Other income normal,0.74,0.19,0.25,0.31,0.32,0.25,0.56,0.43,0.36,0.17,0.24,0.27
Interest,0.60,0.57,0.81,0.71,0.64,0.62,0.67,0.33,0.41,0.39,0.45,0.23
Depreciation,1.20,1.17,1.28,1.22,1.08,1.11,1.16,1.19,1.07,1.08,1.19,1.02
Profit before tax,0.07,1.02,2.87,0.85,1.10,2.22,2.64,3.23,2.09,0.65,-30.88,-9.68
Tax %,-28.57%,14.71%,6.27%,49.41%,20.91%,14.86%,18.94%,36.84%,23.92%,-53.85%,0.45%,-99.17%
Net Profit,0.09,0.88,2.70,0.43,0.88,1.89,2.15,2.04,1.60,1.01,-31.01,-0.07
  └─ Profit excl Excep,0,1,3,0,1,2,2,2,2,1,-31,-0
  └─ Profit for PE,0,1,3,0,1,2,2,2,2,1,-31,-0
  └─ Profit for EPS,0,1,3,0,1,2,2,2,2,1,-31,-0
  └─ YOY Profit Growth %,,,,378%,0%,,-20%,374%,82%,-47%,-1542%,-103%
EPS in Rs,0.06,0.58,1.78,0.27,0.55,1.00,1.13,1.08,0.84,0.53,-16.35,-0.04
Raw PDF,,,,,,,,,,,,
