Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,23,23,8,17,9,29,27,10,7,22,8,14,30
  └─ YOY Sales Growth %,-42%,7%,-62%,-32%,-61%,23%,218%,-39%,-19%,-23%,-69%,32%,314%
Expenses,26,34,21,35,14,50,57,14,11,34,11,17,22
  └─ Material Cost %,64%,112%,213%,146%,79%,61%,92%,84%,65%,82%,89%,81%,66%
  └─ Employee Cost %,7%,8%,19%,9%,15%,4%,4%,12%,13%,4%,10%,7%,3%
Operating Profit,-3,-11,-13,-18,-5,-22,-30,-4,-4,-12,-3,-4,7
OPM %,-15%,-46%,-150%,-111%,-61%,-75%,-114%,-41%,-59%,-54%,-35%,-27%,25%
Other Income,2,-73,0,1,3,0,0,2,-2,15,0,6466,-0
  └─ Exceptional items,0.00,-65.88,0.00,0.00,3.10,0.00,0.00,1.13,-1.63,-0.78,0.00,6466.07,-0.44
  └─ Other income normal,1.97,-7.00,0.00,0.67,0.11,0.11,0.05,0.84,0.05,16.27,0.04,0.06,0.19
Interest,281,311,275,288,302,303,319,337,355,375,396,155,55
Depreciation,8,6,4,4,3,2,2,2,2,2,1,1,1
Profit before tax,-291,-400,-292,-309,-307,-326,-351,-341,-362,-373,-400,6306,-49
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,-291,-400,-292,-309,-307,-326,-351,-341,-362,-373,-400,6306,-49
  └─ Minority share,15,12,1,-1,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,-66,0,0,3,0,0,1,-2,-1,0,6466,-0
  └─ Profit excl Excep,-291,-334,-292,-309,-310,-326,-351,-342,-360,-372,-400,-160,-49
  └─ Profit for PE,-275,-325,-290,-310,-310,-326,-351,-342,-360,-372,-400,-160,-49
  └─ Profit for EPS,-275,-388,-290,-310,-307,-326,-351,-341,-362,-373,-400,6306,-49
  └─ YOY Profit Growth %,-47%,-29%,-34%,-25%,-13%,-1%,-21%,-10%,-16%,-14%,-14%,53%,86%
EPS in Rs,-107.09,-151.16,-112.93,-120.78,-119.54,-126.96,-136.57,-132.59,-140.82,-145.04,-155.62,651.87,-5.09
Raw PDF,,,,,,,,,,,,,
