Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,316,369,495,559,580,589,685
  └─ YOY Sales Growth %,,,,,83.44%,59.64%,38.37%
Expenses,294,331,447,486,520,538,593
  └─ Material Cost %,71%,69%,72%,70%,72%,73%,70%
  └─ Employee Cost %,7%,6%,6%,5%,6%,6%,5%
Operating Profit,22,38,48,73,60,51,92
OPM %,7%,10%,10%,13%,10%,9%,13%
Other Income,1,1,3,1,1,1,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-3.51
  └─ Other income normal,1.25,0.90,2.63,0.78,1.07,1.48,3.89
Interest,9,14,16,16,8,8,10
Depreciation,6,10,12,12,12,12,12
Profit before tax,8,15,22,46,41,33,71
Tax %,33%,30%,26%,26%,25%,26%,25%
Net Profit,5,11,17,34,31,24,53
  └─ Exceptional items AT,0,0,0,0,0,0,-3
  └─ Profit excl Excep,5,11,17,34,31,24,56
  └─ Profit for PE,5,11,17,34,31,24,56
  └─ Profit for EPS,5,11,17,34,31,24,53
  └─ YOY Profit Growth %,,,,,469%,131%,237%
EPS in Rs,0.22,0.44,0.69,1.15,1.04,0.83,1.81
Raw PDF,,,,,,,
