Metric,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019
Sales,260.71,218.54,112.42,132.09,85.82,161.52,99.10,41.31,166.61,300.00,222.06,29.68,92.63
  └─ YOY Sales Growth %,-2.26%,-7.70%,-65.16%,-61.53%,-67.08%,-26.09%,-11.85%,-68.73%,94.14%,85.74%,124.08%,-28.15%,-44.40%
Expenses,103.52,74.72,-42.96,-24.48,-13.12,59.12,-22.16,-38.68,66.45,161.60,125.15,-33.90,20.26
  └─ Material Cost %,28.50%,23.29%,-55.98%,-34.55%,-41.96%,28.41%,-33.29%,-128.54%,34.16%,48.03%,51.87%,-146.50%,13.74%
  └─ Employee Cost %,4.15%,5.00%,8.29%,5.90%,10.93%,4.88%,5.14%,22.39%,3.72%,1.97%,2.43%,18.30%,5.92%
Operating Profit,157.19,143.82,155.38,156.57,98.94,102.40,121.26,79.99,100.16,138.40,96.91,63.58,72.37
OPM %,60.29%,65.81%,138.21%,118.53%,115.29%,63.40%,122.36%,193.63%,60.12%,46.13%,43.64%,214.22%,78.13%
Other Income,4.50,4.72,4.02,21.28,3.83,1.55,1.82,6.68,4.74,4.09,3.88,4.76,3.87
  └─ Other income normal,4.50,4.72,4.02,21.28,3.83,1.55,1.82,6.68,4.74,4.09,3.88,4.76,3.87
Interest,114.60,109.08,104.26,100.30,92.46,85.85,94.55,76.31,72.87,73.96,75.92,57.88,64.53
Depreciation,1.97,1.91,1.86,1.76,1.78,1.73,1.68,1.64,1.65,1.38,1.06,1.31,1.20
Profit before tax,45.12,37.55,53.28,75.79,8.53,16.37,26.85,8.72,30.38,67.15,23.81,9.15,10.51
Tax %,9.53%,1.38%,24.51%,19.67%,11.72%,-271.84%,29.39%,4.47%,18.73%,18.97%,17.22%,18.25%,21.60%
Net Profit,40.82,37.03,40.22,60.88,7.53,60.87,18.96,8.33,24.69,54.41,19.71,7.48,8.24
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,41,37,40,61,8,61,19,8,25,54,20,7,8
  └─ Profit for PE,41,37,40,61,8,61,19,8,25,54,20,7,8
  └─ Profit for EPS,41,37,40,61,8,61,19,8,25,54,20,7,8
  └─ YOY Profit Growth %,-30%,-35%,-60%,28%,-82%,64%,-53%,-86%,227%,-11%,4%,-10%,-67%
EPS in Rs,0.97,0.85,0.93,1.40,0.17,1.40,0.44,0.19,0.57,1.20,0.43,0.16,0.17
Raw PDF,,,,,,,,,,,,,
