Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,16.39,14.15,34.36,61.79,59.02,81.69,36.96,5.16,8.30,8.88,2.33,3.65,-0.66
  └─ YOY Sales Growth %,-68%,-65%,41%,256%,260%,477%,8%,-92%,-86%,-89%,-94%,-29%,-108%
Expenses,12.72,23.85,31.48,59.48,51.93,63.90,11.94,-0.55,9.13,21.76,4.13,5.68,0.66
  └─ Material Cost %,62.54%,120.64%,83.24%,88.90%,81.19%,71.09%,22.59%,-70.74%,71.57%,177.82%,30.90%,21.37%,
  └─ Employee Cost %,4.51%,5.16%,2.76%,1.42%,1.69%,1.16%,2.44%,15.50%,11.08%,10.36%,43.35%,20.27%,
Operating Profit,3.67,-9.70,2.88,2.31,7.09,17.79,25.02,5.71,-0.83,-12.88,-1.80,-2.03,-1.32
OPM %,22.39%,-68.55%,8.38%,3.74%,12.01%,21.78%,67.69%,110.66%,-10.00%,-145.05%,-77.25%,-55.62%,
Other Income,0.55,0.73,0.49,1.30,0.58,1.36,0.36,0.55,0.35,0.57,0.33,0.55,0.92
  └─ Other income normal,0.55,0.73,0.49,1.30,0.58,1.36,0.36,0.55,0.35,0.57,0.33,0.55,0.92
Interest,0.04,0.13,0.50,1.37,1.10,1.64,0.66,1.06,1.04,1.07,1.01,0.74,0.69
Depreciation,0.15,0.15,0.16,0.17,0.17,0.17,0.17,0.26,0.29,0.76,0.49,0.54,0.51
Profit before tax,4.03,-9.25,2.71,2.07,6.40,17.34,24.55,4.94,-1.81,-14.14,-2.97,-2.76,-1.60
Tax %,9.18%,8.32%,-18.08%,-27.54%,52.34%,-6.11%,2.69%,0.61%,-74.59%,-29.07%,-26.94%,114.49%,31.88%
Net Profit,3.67,-10.02,3.20,2.64,3.04,18.38,23.88,4.90,-0.46,-10.05,-2.17,-5.93,-2.11
  └─ Minority share,-2,4,-2,-2,-2,-8,-12,-4,-1,3,-0,0,-0
  └─ Profit excl Excep,4,-10,3,3,3,18,24,5,-0,-10,-2,-6,-2
  └─ Profit for PE,1,-6,1,0,1,11,12,1,-1,-7,-2,-6,-2
  └─ Profit for EPS,1,-6,1,0,1,11,12,1,-1,-7,-2,-6,-2
  └─ YOY Profit Growth %,-67%,-206%,-37%,-77%,-6%,275%,922%,241%,-174%,-166%,-119%,-521%,-122%
EPS in Rs,0.05,-0.22,0.04,0.01,0.05,0.39,0.45,0.05,-0.04,-0.26,-0.08,-0.20,-0.08
Raw PDF,,,,,,,,,,,,,
