Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,79,121,77,188,188,327,380,523,648,672
  └─ YOY Sales Growth %,,,,,137%,171%,396%,178%,245%,105%
Expenses,71,106,73,158,151,274,318,445,558,583
  └─ Material Cost %,82%,82%,85%,77%,73%,78%,78%,81%,81%,81%
  └─ Employee Cost %,4%,3%,5%,2%,2%,1%,1%,1%,1%,1%
Operating Profit,8,14,4,31,37,54,63,78,90,89
OPM %,10%,12%,5%,16%,20%,16%,16%,15%,14%,13%
Other Income,0,-5,0,1,1,1,2,2,0,4
  └─ Exceptional items,0.00,-5.18,0.00,0.16,0.03,-0.19,0.00,0.00,-0.93,0.00
  └─ Other income normal,0.09,0.50,0.36,1.14,0.49,0.92,2.26,1.84,0.96,4.00
Interest,2,1,2,1,2,2,3,3,6,10
Depreciation,1,1,1,1,3,3,4,4,7,9
Profit before tax,6,8,1,29,32,49,57,72,77,74
Tax %,21%,17%,29%,19%,28%,28%,26%,27%,29%,28%
Net Profit,5,6,1,24,23,35,42,53,54,53
  └─ Minority share,0,0,0,0,0,0,0,-0,0,0
  └─ Exceptional items AT,0,-2,0,0,0,-0,0,0,-1,0
  └─ Profit excl Excep,5,9,1,24,23,35,42,53,55,53
  └─ Profit for PE,5,9,1,24,23,35,42,53,55,53
  └─ Profit for EPS,5,6,1,24,23,35,42,53,54,53
  └─ YOY Profit Growth %,,,,,418%,305%,3890%,123%,135%,50%
EPS in Rs,2.51,2.57,0.43,9.69,9.56,14.43,17.28,20.62,21.25,20.86
Raw PDF,,,,,,,,,,
