Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,339,525,498,483,540,550,423,611
  └─ YOY Sales Growth %,,,,,59.55%,4.78%,-15.00%,26.44%
Expenses,218,330,338,288,349,332,266,344
  └─ Material Cost %,43.27%,35.78%,46.75%,36.60%,42.74%,40.61%,33.70%,35.27%
  └─ Employee Cost %,14.02%,18.36%,11.42%,12.37%,13.33%,12.31%,16.66%,11.86%
Operating Profit,121,195,160,195,191,218,157,267
OPM %,36%,37%,32%,40%,35%,40%,37%,44%
Other Income,19,28,24,14,23,48,8,52
  └─ Exceptional items,0,0,0,0,0,0,-25,1
  └─ Other income normal,19,28,24,14,23,48,34,51
Interest,4,4,3,1,2,3,0,2
Depreciation,19,20,20,30,26,34,35,40
Profit before tax,118,200,161,178,186,230,130,278
Tax %,30%,19%,23%,54%,27%,24%,29%,32%
Net Profit,82,162,124,83,136,173,93,190
  └─ Exceptional items AT,0,0,0,0,0,0,-18,1
  └─ Profit excl Excep,82,162,124,83,136,173,111,189
  └─ Profit for PE,82,162,124,83,136,173,111,189
  └─ Profit for EPS,82,162,124,83,136,173,93,190
  └─ YOY Profit Growth %,,,,,65%,7%,-11%,129%
EPS in Rs,1.47,2.90,2.22,1.48,2.42,3.09,1.65,3.38
Raw PDF,,,,,,,,
