Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,139,132,233,99,126,189,248,116,151
  └─ YOY Sales Growth %,,,,,-9.08%,43.32%,6.65%,17.02%,19.48%
Expenses,119,126,205,89,105,179,216,104,130
  └─ Material Cost %,63%,75%,76%,64%,59%,78%,71%,63%,60%
  └─ Employee Cost %,7%,8%,5%,12%,9%,7%,6%,12%,10%
Operating Profit,20,6,27,10,21,10,32,12,20
OPM %,15%,5%,12%,10%,17%,5%,13%,10%,14%
Other Income,3,2,1,1,2,1,2,3,2
  └─ Exceptional items,1.43,1.28,0.08,-0.03,0.01,0.01,0.36,0.16,-0.38
  └─ Other income normal,2.00,0.42,1.05,0.66,1.94,0.93,1.95,2.54,2.00
Interest,3,3,3,4,4,4,5,4,4
Depreciation,3,2,3,2,3,2,3,3,4
Profit before tax,18,2,23,5,15,5,27,7,14
Tax %,28%,34%,27%,21%,35%,17%,24%,48%,17%
Net Profit,13,1,17,4,10,4,21,4,12
  └─ Exceptional items AT,1.03,0.84,0.06,-0.02,0.01,0.01,0.25,0.08,-0.27
  └─ Profit excl Excep,11.91,0.51,16.61,3.68,9.79,3.86,20.44,3.78,11.88
  └─ Profit for PE,11.91,0.51,16.61,3.68,9.79,3.86,20.44,3.78,11.88
  └─ Profit for EPS,12.94,1.35,16.67,3.66,9.80,3.87,20.69,3.86,11.61
  └─ YOY Profit Growth %,,,,,-17.80%,656.86%,23.06%,2.72%,21.35%
EPS in Rs,5.50,0.28,3.42,0.75,2.01,0.79,3.27,0.61,1.84
Raw PDF,,,,,,,,,
