Metric,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Dec 2023
Revenue,3.43,3.73,6.52,10.55,6.33,7.25,5.56,8.88,8.10,10.49,10.22,27.74,23.64
  └─ YOY Sales Growth %,-26.08%,-15.23%,33.06%,174.74%,84.55%,94.37%,-14.72%,-15.83%,27.96%,44.69%,83.81%,212.39%,
Interest,1.25,1.15,2.02,3.75,1.79,1.79,1.85,1.60,0.55,1.76,0.59,0.52,1.65
Expenses,1.54,2.18,2.92,4.31,2.30,2.20,4.59,5.39,5.03,6.41,10.08,6.60,15.31
  └─ Employee Cost %,20.70%,30.29%,19.79%,13.18%,10.27%,8.69%,12.59%,13.63%,14.81%,18.30%,14.97%,3.50%,3.21%
Financing Profit,0.64,0.40,1.58,2.49,2.24,3.26,-0.88,1.89,2.52,2.32,-0.45,20.62,6.68
Financing Margin %,18.66%,10.72%,24.23%,23.60%,35.39%,44.97%,-15.83%,21.28%,31.11%,22.12%,-4.40%,74.33%,28.26%
Other Income,0.12,0.12,0.21,0.29,0.03,0.19,0.53,-0.09,0.20,0.02,0.15,0.24,0.07
  └─ Other income normal,0.12,0.12,0.21,0.29,0.03,0.19,0.53,-0.09,0.20,0.02,0.15,0.24,0.07
Depreciation,0.06,0.10,0.11,0.25,0.18,0.17,0.17,0.34,0.18,0.22,0.22,0.13,0.12
Profit before tax,0.70,0.42,1.68,2.53,2.09,3.28,-0.52,1.46,2.54,2.12,-0.52,20.73,6.63
Tax %,0.00%,0.00%,0.00%,49.41%,26.79%,24.09%,-15.38%,35.62%,26.38%,26.89%,32.69%,17.99%,25.79%
Net Profit,0.70,0.42,1.68,1.27,1.53,2.49,-0.43,0.95,1.87,1.54,-0.68,17.01,4.91
  └─ Minority share,-0.02,0.00,-0.13,0.12,0.03,-0.01,-0.04,0.05,-0.02,0.00,0.01,0.01,0.00
  └─ Profit excl Excep,0.70,0.42,1.68,1.27,1.53,2.49,-0.43,0.95,1.87,1.54,-0.68,17.01,4.91
  └─ Profit for PE,0.68,0.42,1.55,1.39,1.56,2.48,-0.47,1.00,1.85,1.54,-0.67,17.02,4.91
  └─ Profit for EPS,0.68,0.42,1.55,1.39,1.56,2.48,-0.47,1.00,1.85,1.54,-0.67,17.02,4.91
  └─ YOY Profit Growth %,0.00%,50.00%,127.94%,216.81%,129.41%,490.48%,-130.32%,-28.06%,18.59%,-37.90%,-42.55%,1602.00%,
EPS in Rs,0.06,0.04,0.14,0.11,0.12,0.20,-0.04,0.08,0.15,0.12,-0.05,1.34,0.39
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
