Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2023,Dec 2024
Sales,3,26,36,88,117,207,242,280,,
  └─ YOY Sales Growth %,,,,,,139%,,,,128%
Expenses,2,22,31,76,101,175,196,233,,
  └─ Material Cost %,0%,72%,77%,82%,82%,65%,72%,72%,,
  └─ Employee Cost %,21%,2%,2%,1%,1%,4%,2%,4%,,
Operating Profit,1,5,5,12,16,32,45,47,,
OPM %,23%,18%,15%,14%,14%,16%,19%,17%,,
Other Income,0,0,0,0,1,5,4,3,,
  └─ Other income normal,0.02,0.03,0.03,0.02,1.12,5.14,3.53,3.39,,
Interest,0,0,0,0,0,0,0,0,,
Depreciation,0,1,1,0,1,5,8,10,,
Profit before tax,0,4,4,12,16,32,41,40,,
Tax %,30%,9%,3%,2%,2%,11%,11%,10%,,
Net Profit,0,3,4,12,16,29,36,36,,
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.44,,
  └─ Profit excl Excep,0.14,3.43,4.06,11.60,15.99,28.52,36.26,36.23,,
  └─ Profit for PE,0.14,3.43,4.06,11.60,15.99,28.52,36.26,35.79,,
  └─ Profit for EPS,0.14,3.43,4.06,11.60,15.99,28.52,36.26,35.79,,
EPS in Rs,14.00,26.38,1.93,3.87,4.31,6.05,7.70,7.22,,
Raw PDF,,,,,,,,,,
