Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Revenue,0.22,0.04,0.28,0.28,0.30,0.32,0.54,0.70,0.34,0.46,0.45,0.42,0.51
  └─ YOY Sales Growth %,0%,180%,-22%,-18%,36%,700%,93%,150%,13%,44%,-17%,-40%,50%
Interest,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.08,0.04,0.03,0.04,0.06
Expenses,0.14,-0.11,0.05,0.19,0.16,0.24,0.10,0.13,0.20,0.50,0.24,0.22,0.33
  └─ Employee Cost %,45.45%,-475.00%,7.14%,46.43%,30.00%,34.38%,14.81%,11.43%,26.47%,91.30%,42.22%,26.19%,35.29%
Financing Profit,0.07,0.14,0.22,0.08,0.12,0.05,0.40,0.53,0.06,-0.08,0.18,0.16,0.12
Financing Margin %,31.82%,350.00%,78.57%,28.57%,40.00%,15.62%,74.07%,75.71%,17.65%,-17.39%,40.00%,38.10%,23.53%
Other Income,0.00,0.02,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.02,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.01,0.01,0.01,0.02,0.03,0.02,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Profit before tax,0.06,0.15,0.21,0.06,0.09,0.08,0.32,0.44,-0.03,-0.17,0.09,0.07,0.03
Tax %,33.33%,40.00%,28.57%,33.33%,22.22%,25.00%,25.00%,25.00%,-33.33%,-23.53%,22.22%,28.57%,33.33%
Net Profit,0.04,0.09,0.16,0.05,0.07,0.06,0.24,0.32,-0.03,-0.13,0.07,0.05,0.03
  └─ Profit excl Excep,0,0,0,0,0,0,0,0,-0,-0,0,0,0
  └─ Profit for PE,0,0,0,0,0,0,0,0,-0,-0,0,0,0
  └─ Profit for EPS,0,0,0,0,0,0,0,0,-0,-0,0,0,0
  └─ YOY Profit Growth %,500%,150%,0%,-55%,75%,-33%,50%,540%,-143%,-317%,-71%,-84%,200%
EPS in Rs,0.00,0.01,0.01,0.00,0.00,0.00,0.02,0.02,-0.00,-0.01,0.00,0.00,0.00
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
